시도별,경제활동별,항목,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년
전국,지역내총생산(시장가격),명목,1093215642,1159499299,1207708628,1327443926,1393306281,1445391103,1505238577,1566088413,1660844316,1743574724,1840348850,1902527946,1927421209,1944644393,2083794973,2165717327
전국,지역내총생산(시장가격),실질,1290847174,1325847750,1338962852,1432683907,1484628137,1519358867,1566633412,1615774616,1660844316,1709742565,1762932983,1814075680,1854370144,1842426414,1922065762,1972396056
전국,지역내총생산(시장가격),실질기여도,5.78,2.71,0.99,7,3.63,2.34,3.11,3.14,2.79,2.94,3.11,2.9,2.22,-0.64,4.32,2.62
전국,순생산물세,명목,101958517,108834146,108184935,119728129,120865282,124103393,123831491,128455680,137236989,147826528,156877309,162233722,162011901,168851812,184986227,185985425
전국,순생산물세,실질,118374367,115068777,112304672,118040125,122970664,125419926,126814588,132369154,137236989,143240158,147290121,149552574,150287055,152394229,158097793,154719789
전국,순생산물세,실질기여도,0.47,-0.26,-0.23,0.46,0.38,0.17,0.1,0.36,0.3,0.36,0.24,0.13,0.04,0.12,0.32,-0.19
전국,총부가가치(기초가격),명목,991257125,1050665153,1099523693,1207715797,1272440999,1321287710,1381407086,1437632733,1523607327,1595748196,1683471541,1740294224,1765409308,1775792581,1898808746,1979731902
전국,총부가가치(기초가격),실질,1171850796,1210258960,1226482228,1314613953,1361558828,1393860095,1439847494,1483406987,1523607327,1566502407,1615648186,1664573177,1704231543,1690054650,1764039565,1818404002
전국,총부가가치(기초가격),실질기여도,5.3,2.97,1.21,6.54,3.25,2.17,3.02,2.78,2.49,2.58,2.87,2.77,2.18,-0.76,4,2.81
전국,"농업, 임업 및 어업",명목,24974122,24836430,26923769,28360518,30740963,31535409,31598412,32203471,33229204,32366342,33981048,33219757,31991342,34089658,38535237,35373235
전국,"농업, 임업 및 어업",실질,28744198,30547882,31750333,30541261,30411978,30060779,31374217,33095772,33229204,31374753,31958788,32088872,33304894,31318218,33032148,32526257
전국,"농업, 임업 및 어업",실질기여도,0.12,0.14,0.08,-0.08,-0.01,-0.03,0.1,0.12,0.01,-0.11,0.03,0.01,0.07,-0.1,0.1,-0.03
전국,광제조업,명목,280002450,298889884,311721287,365457576,394914683,403483789,419795285,425380357,443915936,461999675,497941708,508586282,488182864,483518715,532787639,556731967
전국,광제조업,실질,325420302,335037884,331608823,385572468,405492515,411067926,423557535,436892108,443915936,454391818,471164025,486333518,491611195,486282698,520565042,528069599
전국,광제조업,실질기여도,1.8,0.76,-0.26,4.2,1.42,0.39,0.85,0.88,0.44,0.63,0.98,0.87,0.29,-0.27,1.75,0.37
전국,　광업,명목,1943864,2094151,2048607,2078943,2268438,2217162,2322797,2259269,2306505,2607381,2682663,2343043,2148067,1995156,2011320,1984193
전국,　광업,실질,2895684,2801070,2789744,2903873,2754643,2652583,2619279,2579177,2306505,2530543,2519435,2257220,2057633,2005188,2111985,2011908
전국,　광업,실질기여도,-0.01,-0.01,0,0.01,-0.01,-0.01,0,0,-0.02,0.01,0,-0.02,-0.01,0,0.01,0
전국,　제조업,명목,278058586,296795733,309672680,363378633,392646245,401266627,417472488,423121088,441609431,459392294,495259045,506243239,486034797,481523559,530776319,554747774
전국,　제조업,실질,322745684,332424623,329007787,382813307,402816507,408473345,420981034,434344095,441609431,451861275,468645998,484080350,489555995,484281470,518457320,526052909
전국,　제조업,실질기여도,1.81,0.76,-0.26,4.19,1.43,0.4,0.85,0.88,0.45,0.62,0.98,0.89,0.3,-0.27,1.75,0.37
전국,　　음식료품 및 담배제조업,명목,13372818,13876076,14964422,15379387,16130967,16431873,17875060,18824408,20514021,21597057,22241468,23494266,24614298,26019987,25990049,25626042
전국,　　음식료품 및 담배제조업,실질,16866384,17295847,16869475,17586197,17355928,18391783,19584679,19689001,20514021,20436112,21256929,21803013,22676239,23265147,23742552,24259414
전국,　　음식료품 및 담배제조업,실질기여도,-0.04,0.03,-0.03,0.05,-0.02,0.07,0.07,0.01,0.05,0,0.05,0.03,0.05,0.03,0.03,0.03
전국,　　섬유 의복 및 가죽 제품 제조업,명목,11556381,12480180,13874744,15217950,16337087,17380101,17946945,18035424,17279801,17182558,16105911,15895152,15821374,15114389,13863243,13220972
전국,　　섬유 의복 및 가죽 제품 제조업,실질,15468171,15675508,14970004,16445638,16704211,18061187,18508178,18599934,17279801,14989180,15277714,14491772,13282075,12437931,12534472,12232857
전국,　　섬유 의복 및 가죽 제품 제조업,실질기여도,0.03,0.01,-0.05,0.11,0.02,0.1,0.03,0.01,-0.08,-0.14,0.02,-0.05,-0.07,-0.05,0.01,-0.02
전국,　　목재종이인쇄 및 복제업,명목,9165831,9588685,10825447,10895245,11252065,11671034,12162898,12666603,13276636,14678588,13833371,15169692,14981871,14545917,15535451,15641021
전국,　　목재종이인쇄 및 복제업,실질,11265732,11790469,12410461,12676439,12730880,12720056,12695392,13145151,13276636,14395421,13778806,13993400,13824580,13721705,13772960,13091490
전국,　　목재종이인쇄 및 복제업,실질기여도,0.02,0.04,0.04,0.02,0,0,0,0.03,0.01,0.07,-0.04,0.01,-0.01,-0.01,0,-0.04
전국,　　석탄 및 석유 화학제품 제조업,명목,51452875,54673238,52027555,66783209,75775788,75573884,78604951,78522438,85111391,88493417,91444692,89827168,88491290,85221217,104077513,114025314
전국,　　석탄 및 석유 화학제품 제조업,실질,70509676,71840212,67778453,76712434,79421653,77799994,80108176,82063537,85111391,86747843,89140585,90045383,88472745,86566972,90397383,88081931
전국,　　석탄 및 석유 화학제품 제조업,실질기여도,0.13,0.09,-0.27,0.57,0.18,-0.11,0.16,0.13,0.19,0.1,0.14,0.05,-0.08,-0.1,0.19,-0.13
전국,　　비금속광물 및 금속제품 제조업,명목,52319107,57075512,57403046,67456157,71865699,71830019,72043097,74405402,75683839,77692722,79736745,78923684,78185467,74930591,92636049,103182516
전국,　　비금속광물 및 금속제품 제조업,실질,67958231,63715838,59048515,65691647,67420421,68116033,68838010,72183872,75683839,76517077,78484813,76860808,75358482,71673167,72052908,69175267
전국,　　비금속광물 및 금속제품 제조업,실질기여도,0.24,-0.3,-0.36,0.53,0.13,0.05,0.05,0.23,0.23,0.05,0.11,-0.09,-0.08,-0.2,0.02,-0.18
전국,　　전기 전자 및 정밀기기 제조업,명목,78306808,81624966,89560450,105835914,113180472,117762324,125627918,126416363,128409366,135270828,165387520,177763358,154869559,159077046,179637685,176890383
전국,　　전기 전자 및 정밀기기 제조업,실질,74858744,79136066,84547289,103107099,112292081,115449598,121961516,128034360,128409366,137966666,145853297,161195398,170223304,177040200,200109463,210366708
전국,　　전기 전자 및 정밀기기 제조업,실질기여도,1.16,0.41,0.48,1.63,0.71,0.23,0.46,0.42,0.02,0.58,0.44,0.95,0.52,0.32,1.07,0.44
