,시도별,경제활동별,항목,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,전국,총생산,명목,0.04157771293314072,0.09914253754921432,0.04961592253351421,0.03738217699170776,0.041405730169352006,0.04042537636875876,0.0605048234910861,0.049812259465263464,0.05550328567392104,0.033786581277783334,0.013084308723210647,0.008935869294981913,0.07155579729686856,0.039314018443022736
1,전국,총생산,실질,0.009891861263859214,0.06999526152649382,0.03625658789507158,0.023393555015184253,0.031114798502702934,0.03136739177371761,0.02789355616414757,0.029441801696240333,0.031110191141553445,0.02901000633215789,0.02221211851536431,-0.006440855423953562,0.0432252530656565,0.026185521325570615
6,전국,1차 산업,명목,0.08404343941540704,0.053363591107916664,0.08393517353949598,0.025843237246666595,0.0019978494650252365,0.019148398976505554,0.03185162866450009,-0.025966977722367335,0.049888430394759986,-0.022403399683258773,-0.03697844629026037,0.06559012122717456,0.13040843648240763,-0.08205482166880151
7,전국,1차 산업,실질,0.03936282718389439,-0.03808060847739769,-0.004233060317974435,-0.011548048601113692,0.04369274661844269,0.05487164827093527,0.004031693232597888,-0.055807867079813334,0.018614807899842267,0.004070367124059837,0.03789544238264275,-0.05965117318794044,0.05472629381403493,-0.015315110600739645
12,전국,2차 산업,명목,0.04338656378189909,0.1734281274021332,0.08054301860946245,0.02195457644068388,0.04038676508226047,0.01353047245594774,0.04369515848853167,0.04026830441490281,0.07807434183909057,0.022178684288340467,-0.03991844323673033,-0.009281718156488261,0.102285254956757,0.045163007733960425
13,전국,2차 산업,실질,-0.010278528615493054,0.1635387432334543,0.05225314698895778,0.014043212980842323,0.030620575744054968,0.03174266753309363,0.016727143487469398,0.023214730665477967,0.03714574345854271,0.032933924680607296,0.011311438276724095,-0.010774099498056411,0.0705702202481544,0.014650365048370917
32,전국,3차 산업,명목,0.04277556827693041,0.07417026605399779,0.04826387342140981,0.04622133260650463,0.043618846550664614,0.04844048729044115,0.059716440429174567,0.046127179581892275,0.046528779677462495,0.049252732826368106,0.04088920499812976,0.005990101561612615,0.06696306732002388,0.06077386565045462
33,전국,3차 산업,실질,0.02316508516700244,0.045345929123070006,0.03791764359228145,0.03285638866913154,0.03525242665504891,0.03030586280063141,0.030436424324488787,0.028453978777975397,0.024560756349842894,0.03718696987359604,0.03379208919490706,-0.0066811965242640214,0.038163023277767216,0.0410265087363928
56,서울특별시,총생산,명목,0.04122649651587951,0.06669082761547207,0.041924255274017774,0.024232613106353496,0.01910299570240337,0.028020284028656528,0.0568420958806124,0.04645612580953706,0.043151013926854276,0.048659996693720675,0.02875593351458061,0.019768660369841706,0.06185042150600806,0.029039194181002426
57,서울특별시,총생산,실질,0.01496269305354958,0.03534354318114907,0.03152898745773802,0.013998564733267882,0.016498460181738617,0.015078235235596038,0.029211078845888583,0.028396324849017773,0.023393327686129783,0.03599027773757468,0.025982475260618587,0.00856325197316754,0.03361822106904322,0.01588727732136186
