,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
전국,0.0046987540483904,0.0149181049338955,0.0043277267689592,0.0042178184676855,0.0037919048559684,0.0036458284347478,0.0039242193273538,0.0032385046359415,0.0015925343549323,0.0009176580940553,0.0004592670262657,-0.0004018911448961,-0.0036700286632839,-0.0038686213696369
서울특별시,0.0007327837243,0.0102115905270043,-0.0060960703686626,-0.005303678290803,-0.0050683068443769,-0.0039839722308894,-0.0080223825383419,-0.0091362349173298,-0.0073701369582712,-0.0093130803112293,-0.0037392391657962,-0.0062330489324456,-0.0164459404879678,-0.0085268792395949
부산광역시,-0.006044756502665,0.0070222380279025,-0.0047498395419166,-0.0035142579632623,-0.0030660022766811,-0.0023341417125071,-0.0015979992049783,-0.0043394899562493,-0.0079679202316172,-0.0084134023193905,-0.008023355251401,-0.006413596883979,-0.0122543224449918,-0.0097206883995247
대구광역시,-0.0011806361233734,0.0087939461342181,-0.0017538090103977,-0.0006489127022966,-0.0016187455201137,-0.003327486380651,-0.0021798734510264,-0.0013152029339636,-0.0037535866554883,-0.0054386843086564,-0.0096426594046801,-0.0080741385158761,-0.0136183986906753,-0.0091057645387883
인천광역시,0.0066412992777498,0.017603987930254,0.0155813589259454,0.0152455632687127,0.0125883400768147,0.007926294420897,0.0079952236058056,0.0058971602784181,0.0018596234067227,0.00206881909771,0.0008068659417959,-0.0048014457769394,0.001884921578835,0.006423538389791
광주광역시,0.0076881876879346,0.0146452386931168,0.0060688722127046,0.0039304007478147,0.0025142661119943,0.0020191321940918,-0.002496808692282,-0.0020275791520032,-0.0037053826059375,-0.0030291644179072,-0.001965277359018,-0.0043983115317329,-0.0058280266636875,-0.0073258320032241
대전광역시,0.0022182531509662,0.0131277877346414,0.0079399387097116,0.0059250344582322,0.0053968855746129,-0.0006537009455177,-0.0085088937328348,-0.0029003637800201,-0.0080185159505272,-0.0081818526760603,-0.0101118437302004,-0.0074501481486504,-0.007945312532021,-0.0042547741402828
울산광역시,0.002210521868345,0.0102541471351713,0.0081648018552815,0.0103584871430408,0.0080400538327976,0.0085578652462645,0.0061360949332849,-0.0010481162028539,-0.0061178670379014,-0.0081613070450387,-0.0065800005711205,-0.0104545308048037,-0.0126978733592895,-0.0097441850512486
세종특별자치시,,,,,0.0798818922001114,0.2781102387988834,0.350738190552442,0.1525198687430056,0.1524472532174714,0.1214780435558728,0.0841986973380108,0.0447948322689568,0.0451450267121189,0.0314497371569932
경기도,0.0149080822056586,0.0284463043415663,0.0127935722380847,0.0130584385312899,0.0116867200587698,0.0100697773451261,0.0133337325404216,0.0155058779298813,0.0123549357620404,0.015788384168117,0.0124272462056533,0.014150508026411,0.0103102596005337,0.0017678735316557
강원도,0.002847057653746,0.0112025487979801,0.0043338488630673,0.0014201587037114,0.0023611914495362,0.0014128588963102,0.0032795015934556,0.0008383311595236,-0.0004281644512595,-0.0045737745316235,-0.0010045027646508,0.0008679846020309,-0.0028181794612532,-0.0012960743377281
충청북도,0.005192858322689,0.0144355597920231,0.0086316607379794,0.0017435503035057,0.0045374763353747,0.0039428205186897,0.0031787289264333,0.0048442124508822,0.0017636063771302,0.0030230201099827,0.0004720957047419,0.0005187477304786,-0.0021301356727762,-0.0014830098652395
충청남도,0.0094350512276961,0.018616183299617,0.0124162014806934,-0.034506044875419,0.0092932835890784,0.0071507024458996,0.0074558508984989,0.0091824942519165,0.0095591843859501,0.0044936388932192,-0.0012100934871291,-0.0012619431381606,-0.0008354435512196,0.0017836439846605
전라북도,-0.0006811181546009,0.0077945201638385,0.0027116641688464,-0.000368190280737,-0.0002007109223574,-0.0007501474934128,-0.0009879458847165,-0.0026314227172006,-0.005461201818327,-0.0095842407582846,-0.0097532055190676,-0.0081438570314092,-0.0095609787462364,-0.0096527138463948
전라남도,-0.0031245440333507,0.0028651273076272,-0.0021610802273669,-0.0024661253832263,-0.001280884449141,-0.0007298764872806,0.0016874980323018,-0.002662132346008,-0.0039340012206433,-0.0070944050486599,-0.0075545547725136,-0.0092018975301606,-0.0101244957600366,-0.0082420205554006
경상북도,-0.001516493881106,0.0075074647661539,0.0034480579348084,-0.0003119448576335,0.0004028383239702,0.0005015855140324,0.0007523713396875,-0.0008983190186864,-0.0032187847865389,-0.005526235034584,-0.0041074688689722,-0.0099083364468032,-0.0048544719260504,-0.0099432386015581
경상남도,0.0077268309017426,0.0124177890674228,0.0055398269461266,0.0031881986179134,0.0043701801034792,0.0049303801644959,0.004311609527269,0.0027250555918474,0.0019363514491217,-0.0018979979907727,-0.0033891643953682,-0.0066428692722464,-0.0077938073465907,-0.0101654012467023
제주특별자치도,0.0036477601504054,0.0152702416899637,0.0085793559793787,0.0131162393518422,0.0172910317227816,0.0228020599320317,0.0280713135510894,0.0275498682724877,0.02413664652422,0.0153831403338695,0.0056925228307935,0.0054337701512245,0.0031483691181157,0.0020686832387895
