,city,year,0_19,20_100,예산
0,서울특별시,2013,1904547,8239098,7399387537000.0
1,서울특별시,2014,1838505,8264728,7439129000000.0
2,서울특별시,2015,1769089,8253092,7690091797000.0
3,서울특별시,2016,1695519,8235097,8001286720000.0
4,서울특별시,2017,1623118,8234308,8165785632000.0
5,서울특별시,2018,1545489,8220134,9199289564000.0
6,서울특별시,2019,1482264,8246843,9430830090000.0
7,서울특별시,2020,1405611,8262854,10148031542000.0
8,서울특별시,2021,1339819,8169639,9856084962000.0
9,서울특별시,2022,1294435,8133937,11032863789000.0
10,경기도,2013,2832378,9402252,10933647855000.0
11,경기도,2014,2777854,9579976,11278472732000.0
12,경기도,2015,2730973,9791633,11764860214000.0
13,경기도,2016,2690625,10026155,12122991238000.0
14,경기도,2017,2637136,10236759,12052413872000.0
15,경기도,2018,2594752,10482401,14548472098000.0
16,경기도,2019,2540452,10699214,15417755831000.0
17,경기도,2020,2474198,10952816,16466666945000.0
18,경기도,2021,2420932,11144518,16093909299000.0
19,경기도,2022,2368680,11220752,19393976476000.0
