지역,년도,예산
서울,2024,13239211106000.0
서울,2023,15763188829000.0
서울,2022,11032863789000.0
서울,2021,9856084962000.0
서울,2020,10148031542000.0
서울,2019,9430830090000.0
서울,2018,9199289564000.0
서울,2017,8165785632000.0
서울,2016,8001286720000.0
서울,2015,7690091797000.0
서울,2014,7439129000000.0
서울,2013,7399387537000.0
부산,2024,6816030620000.0
부산,2023,7625745016000.0
부산,2022,5547576923000.0
부산,2021,5082908796000.0
부산,2020,5004327809000.0
부산,2019,4210849704000.0
부산,2018,3920494724000.0
부산,2017,3635672367000.0
부산,2016,3457702543000.0
부산,2015,3378121655000.0
부산,2014,3301631822000.0
부산,2013,3221713997000.0
대구,2024,5213141014000.0
대구,2023,5871123322000.0
대구,2022,4010470975000.0
대구,2021,3349695700000.0
대구,2020,3421228310000.0
대구,2019,3262805000000.0
대구,2018,3140785000000.0
대구,2017,2943500000000.0
대구,2016,2680700000000.0
대구,2015,2635500000000.0
대구,2014,2431373640471.0
대구,2013,2369209793858.0
인천,2024,6105791197000.0
인천,2023,6657390793000.0
인천,2022,5292815274000.0
인천,2021,4197087713000.0
인천,2020,4202224679000.0
인천,2019,3788828097000.0
인천,2018,3525647505000.0
인천,2017,3132754943000.0
인천,2016,2945560996000.0
인천,2015,2774286057000.0
인천,2014,2694259662000.0
인천,2013,2614191303000.0
광주,2024,3274484219000.0
광주,2023,3992805007000.0
광주,2022,2674755975000.0
광주,2021,2260360880000.0
광주,2020,2238177730000.0
광주,2019,2147930655000.0
광주,2018,2002521901000.0
광주,2017,1796150853000.0
광주,2016,1701540964000.0
광주,2015,1692286934000.0
광주,2014,1679018185000.0
광주,2013,1605111766000.0
대전,2024,3317098900000.0
대전,2023,4047659996000.0
대전,2022,2689120414000.0
대전,2021,2276390934000.0
대전,2020,2286712755000.0
대전,2019,2127975550000.0
대전,2018,1903224104000.0
대전,2017,1813785144000.0
대전,2016,1610199576000.0
대전,2015,1584972808000.0
대전,2014,1539391540000.0
대전,2013,1524505296000.0
울산,2024,2686561811000.0
울산,2023,2987968600000.0
울산,2022,2126729769000.0
울산,2021,1858907442000.0
울산,2020,1764632306000.0
울산,2019,1767155097000.0
울산,2018,1656239792000.0
울산,2017,1542264783000.0
울산,2016,1386076450000.0
울산,2015,1262114818000.0
울산,2014,1289199706000.0
