city,year,month,pop_sum,pop_0_9,pop_10_19,pop_20_29,pop_30_39,pop_40_49,pop_50_59,pop_60_69,pop_70_79,pop_80_89,pop_90_99,pop_100_
전국,2008,01,49297732,5251032,6802533,7316621,8662517,8548157,5868261,3866177,2220006,680411,79838,2179
서울특별시,2008,01,10201656,959906,1283816,1726537,1926779,1716377,1301028,801782,359879,111267,13884,401
부산광역시,2008,01,3587154,309247,472927,563706,566682,632563,526568,315745,153131,42405,4073,107
대구광역시,2008,01,2494690,253570,368665,370997,422469,450128,311295,186121,100715,27722,2934,74
인천광역시,2008,01,2668424,289401,395870,401906,478474,505659,299692,171746,92829,29422,3339,86
광주광역시,2008,01,1414877,171638,225962,219101,248601,236620,148632,95921,50227,16084,2027,64
대전광역시,2008,01,1476476,170386,222094,230637,266705,256167,166805,94192,51192,16292,1959,47
울산광역시,2008,01,1101448,127516,176250,160133,198014,213917,126946,59504,28978,9142,1034,14
경기도,2008,01,11122132,1357127,1608175,1586294,2154867,2029341,1142789,710847,397522,120683,14131,356
강원도,2008,01,1503425,153992,197472,200089,231812,256788,187548,150963,90590,30166,3893,112
충청북도,2008,01,1507292,162713,210265,212860,243981,253213,175782,129990,88274,26856,3280,78
충청남도,2008,01,1997954,216814,259605,276734,319999,317942,234553,185239,140019,41784,5127,138
전라북도,2008,01,1858895,194987,257151,251561,280774,293554,226955,182456,126500,40041,4741,175
전라남도,2008,01,1928244,194317,252081,240619,269359,301416,236844,221974,156774,48764,5889,207
경상북도,2008,01,2679640,264789,341170,365187,415185,437953,343209,261331,184436,59374,6860,146
경상남도,2008,01,3196607,355821,450233,435527,543864,553579,378607,252463,170406,51150,4837,120
제주특별자치도,2008,01,558818,68808,80797,74733,94952,92940,61008,45903,28534,9259,1830,54
전국,2008,02,49329973,5235847,6788754,7308944,8656588,8571637,5889117,3876788,2231692,687958,80416,2232
서울특별시,2008,02,10212056,957641,1281081,1725914,1927957,1720572,1304458,805438,362177,112395,14019,404
부산광역시,2008,02,3585593,307958,471219,562188,565722,632703,527670,317006,153918,43019,4084,106
대구광역시,2008,02,2495863,252794,368377,370149,421739,451464,312136,186742,101373,28056,2954,79
인천광역시,2008,02,2672234,289063,395165,402123,478205,506955,301522,172598,93347,29778,3392,86
광주광역시,2008,02,1416514,171205,225823,219135,248871,237202,149121,96172,50586,16271,2066,62
대전광역시,2008,02,1477556,169955,221490,230472,266503,257143,167469,94525,51487,16487,1974,51
울산광역시,2008,02,1102917,127155,176096,160139,197734,214775,127771,59834,29104,9266,1028,15
경기도,2008,02,11138154,1354516,1607242,1585534,2153231,2037598,1149555,713669,400101,122118,14225,365
강원도,2008,02,1503656,153393,196924,199888,231284,257099,188439,151006,91104,30483,3920,116
충청북도,2008,02,1508528,162198,209798,212819,243700,253888,176748,130190,88689,27115,3304,79
충청남도,2008,02,2000342,216542,258571,276412,320471,319282,235478,185396,140649,42262,5136,143
전라북도,2008,02,1857498,193787,256245,250880,280620,294029,227165,182438,126807,40554,4790,183
전라남도,2008,02,1925942,193170,250851,239866,269048,301696,236865,221503,157591,49248,5894,210
경상북도,2008,02,2676624,263302,339603,364180,413650,438645,343745,261374,185198,59858,6917,152
경상남도,2008,02,3197477,354537,449506,434621,543023,555429,379875,252833,170973,51702,4856,122
제주특별자치도,2008,02,559019,68631,80763,74624,94830,93157,61100,46064,28588,9346,1857,59
전국,2008,03,49324670,5215379,6804422,7287173,8622630,8575778,5913465,3883152,2246598,693091,80741,2241
서울특별시,2008,03,10206136,953594,1282297,1722968,1920562,1718348,1308141,807582,364924,113276,14042,402
부산광역시,2008,03,3580784,306283,471326,559326,563073,631250,529004,317972,154959,43391,4096,104
대구광역시,2008,03,2492589,251190,368595,368430,419405,451544,312653,187303,102149,28286,2957,77
인천광역시,2008,03,2674242,288383,395995,401641,476935,507241,303387,173195,94032,29943,3397,93
광주광역시,2008,03,1415682,170368,226385,218287,248043,237217,149691,96243,50936,16398,2058,56
대전광역시,2008,03,1476338,169162,222093,229436,265137,257094,168207,94730,51816,16627,1984,52
울산광역시,2008,03,1103247,126565,176397,160005,196831,214961,128659,60128,29332,9324,1029,16
경기도,2008,03,11144564,1349738,1612994,1582672,2144488,2041098,1157197,715817,402899,122935,14349,377
강원도,2008,03,1503459,152825,197633,198831,230136,257235,189408,150925,91780,30636,3936,114
충청북도,2008,03,1509357,161706,210510,212070,242842,254308,177654,130277,89251,27320,3340,79
충청남도,2008,03,2002524,216116,259825,275438,319829,319987,236640,185325,141461,42599,5157,147
전라북도,2008,03,1856114,192887,256918,249263,279704,294308,227624,182226,127367,40835,4800,182
전라남도,2008,03,1925124,192449,251409,238256,268413,302104,237317,220657,158764,49637,5906,212
경상북도,2008,03,2677453,262598,340421,362872,412028,439391,344813,261433,186453,60312,6982,150
경상남도,2008,03,3197906,353086,450479,433354,540638,556423,381789,253251,171763,52153,4850,120
제주특별자치도,2008,03,559151,68429,81145,74324,94566,93269,61281,46088,28712,9419,1858,60
전국,2008,04,49355153,5200118,6815311,7280037,8611366,8585067,5934959,3889827,2258863,696371,80994,2240
서울특별시,2008,04,10206862,950418,1282587,1721939,1918054,1718128,1311174,809236,367137,113701,14089,399
부산광역시,2008,04,3579486,304858,471391,558127,561676,630712,530126,319127,155655,43600,4106,108
대구광역시,2008,04,2492844,250255,368960,367889,418408,452075,313286,187806,102709,28431,2953,72
인천광역시,2008,04,2678797,288076,396475,402107,476970,507894,305239,173803,94616,30103,3423,91
광주광역시,2008,04,1416303,169766,226806,217917,247914,237356,150288,96364,51294,16488,2051,59
대전광역시,2008,04,1477032,168606,222520,229264,264543,257562,168818,94937,52099,16650,1981,52
울산광역시,2008,04,1104556,126125,176851,160149,196608,215215,129339,60351,29487,9374,1039,18
경기도,2008,04,11164324,1346978,1617882,1583814,2143075,2046244,1164728,717706,405506,123612,14394,385
강원도,2008,04,1503995,152237,197890,198228,229652,257642,190192,150986,92382,30711,3961,114
충청북도,2008,04,1510876,161324,211053,211938,242423,254775,178528,130229,89723,27447,3356,80
충청남도,2008,04,2003398,215682,260330,274295,319528,320545,237355,185368,142177,42815,5160,143
전라북도,2008,04,1855775,192208,257295,248221,279329,294593,228040,182319,127683,41082,4826,179
전라남도,2008,04,1924682,191705,251992,237228,268052,302231,237632,220147,159707,49864,5911,213
경상북도,2008,04,2676548,261505,340555,361817,410819,439644,345545,261467,187362,60655,7031,148
경상남도,2008,04,3200268,352124,451380,432994,539859,557074,383212,253818,172449,52393,4846,119
제주특별자치도,2008,04,559407,68251,81344,74110,94456,93377,61457,46163,28877,9445,1867,60
전국,2008,05,49380296,5186832,6820923,7274163,8598111,8592561,5955585,3899734,2268853,699823,81483,2228
서울특별시,2008,05,10204867,947468,1282176,1720553,1914661,1717415,1313632,811360,368756,114279,14163,404
부산광역시,2008,05,3577179,303594,471170,556412,560261,629770,531257,320247,156331,43879,4151,107
대구광역시,2008,05,2492893,249396,369103,367420,417092,452762,314018,188355,103127,28583,2964,73
인천광역시,2008,05,2681953,287482,396724,402242,476684,508438,306890,174627,95123,30196,3457,90
광주광역시,2008,05,1416751,169135,227312,217577,247540,237492,150808,96606,51588,16569,2066,58
대전광역시,2008,05,1477420,168108,222747,229024,263919,258014,169290,95233,52348,16692,1995,50
울산광역시,2008,05,1105655,125776,177077,160226,196282,215449,130000,60703,29651,9424,1049,18
경기도,2008,05,11182935,1344902,1620849,1584647,2141833,2050702,1172036,720964,407861,124282,14480,379
강원도,2008,05,1504619,151653,198015,197985,229203,257842,191116,151089,92791,30818,3992,115
충청북도,2008,05,1512361,161071,211205,212058,242071,255232,179359,130314,90062,27554,3356,79
충청남도,2008,05,2005692,215522,260744,274117,319225,321223,238192,185486,142785,43066,5198,134
전라북도,2008,05,1855354,191449,257499,247672,278619,294862,228358,182422,128101,41339,4854,179
전라남도,2008,05,1924075,191049,252260,236556,267419,302164,237981,219892,160433,50163,5942,216
경상북도,2008,05,2675949,260752,340547,360972,409631,440184,346184,261644,187935,60878,7075,147
경상남도,2008,05,3203053,351402,452011,432827,539335,557571,384778,254576,172929,52648,4855,121
제주특별자치도,2008,05,559540,68073,81484,73875,94336,93441,61686,46216,29032,9453,1886,58
전국,2008,06,49387462,5172746,6825656,7265719,8587927,8594957,5970999,3909948,2274730,700960,81594,2226
서울특별시,2008,06,10196863,944302,1281219,1717555,1911250,1715790,1314797,813408,369595,114376,14168,403
부산광역시,2008,06,3573520,302277,470724,554884,559045,628755,531885,321054,156648,43981,4157,110
대구광역시,2008,06,2491589,248471,369276,366670,415837,452940,314417,188908,103368,28648,2981,73
인천광역시,2008,06,2684524,286980,397004,402271,476714,508588,308327,175309,95460,30325,3458,88
광주광역시,2008,06,1417096,168527,227615,217395,247221,237688,151280,96912,51777,16562,2060,59
