"시도별(1)","규모별(1)","시점",공장수 (개사)
"계","대기업","2006.1/2",
"계","대기업","2006.2/2",24
"계","대기업","2007.1/2",-37
"계","대기업","2007.2/2",23
"계","대기업","2008.2/2",
"계","대기업","2009.1/2",85
"계","대기업","2009.2/2",63
"계","대기업","2010.1/2",81
"계","대기업","2010.2/2",-127
"계","대기업","2011.1/2",0
"계","대기업","2011.2/2",-47
"계","대기업","2012.1/2",-105
"계","대기업","2012.2/2",-219
"계","대기업","2013.1/2",-108
"계","대기업","2013.2/2",-3
"계","대기업","2014.1/2",-9
"계","대기업","2014.2/2",-1
"계","대기업","2015.1/2",-12
"계","대기업","2015.2/2",1
"계","대기업","2016.1/2",-6
"계","대기업","2016.2/2",-5
"계","대기업","2017.1/2",-18
"계","중기업","2006.1/2",
"계","중기업","2006.2/2",156
"계","중기업","2007.1/2",235
"계","중기업","2007.2/2",89
"계","중기업","2008.2/2",
"계","중기업","2009.1/2",88
"계","중기업","2009.2/2",39
"계","중기업","2010.1/2",115
"계","중기업","2010.2/2",370
"계","중기업","2011.1/2",0
"계","중기업","2011.2/2",136
"계","중기업","2012.1/2",83
"계","중기업","2012.2/2",159
"계","중기업","2013.1/2",68
"계","중기업","2013.2/2",202
"계","중기업","2014.1/2",79
"계","중기업","2014.2/2",203
"계","중기업","2015.1/2",129
"계","중기업","2015.2/2",160
"계","중기업","2016.1/2",123
"계","중기업","2016.2/2",55
"계","중기업","2017.1/2",118
"계","소기업","2006.1/2",
"계","소기업","2006.2/2",3756
"계","소기업","2007.1/2",3802
"계","소기업","2007.2/2",3535
"계","소기업","2008.2/2",
"계","소기업","2009.1/2",3229
"계","소기업","2009.2/2",3157
"계","소기업","2010.1/2",3255
"계","소기업","2010.2/2",5801
"계","소기업","2011.1/2",0
"계","소기업","2011.2/2",3006
"계","소기업","2012.1/2",2777
"계","소기업","2012.2/2",2057
"계","소기업","2013.1/2",2945
"계","소기업","2013.2/2",4582
"계","소기업","2014.1/2",2043
"계","소기업","2014.2/2",4102
"계","소기업","2015.1/2",3638
"계","소기업","2015.2/2",5867
"계","소기업","2016.1/2",2065
"계","소기업","2016.2/2",1963
"계","소기업","2017.1/2",2532
"서울특별시","대기업","2006.1/2",
"서울특별시","대기업","2006.2/2",-2
"서울특별시","대기업","2007.1/2",-4
"서울특별시","대기업","2007.2/2",-1
"서울특별시","대기업","2008.2/2",
"서울특별시","대기업","2009.1/2",3
"서울특별시","대기업","2009.2/2",0
"서울특별시","대기업","2010.1/2",3
"서울특별시","대기업","2010.2/2",0
"서울특별시","대기업","2011.1/2",0
"서울특별시","대기업","2011.2/2",-10
"서울특별시","대기업","2012.1/2",-3
"서울특별시","대기업","2012.2/2",-15
"서울특별시","대기업","2013.1/2",1
"서울특별시","대기업","2013.2/2",-3
"서울특별시","대기업","2014.1/2",-3
"서울특별시","대기업","2014.2/2",0
"서울특별시","대기업","2015.1/2",-5
"서울특별시","대기업","2015.2/2",2
"서울특별시","대기업","2016.1/2",1
"서울특별시","대기업","2016.2/2",-1
"서울특별시","대기업","2017.1/2",-1
"서울특별시","중기업","2006.1/2",
"서울특별시","중기업","2006.2/2",3
"서울특별시","중기업","2007.1/2",3
"서울특별시","중기업","2007.2/2",-13
"서울특별시","중기업","2008.2/2",
"서울특별시","중기업","2009.1/2",7
"서울특별시","중기업","2009.2/2",-5
"서울특별시","중기업","2010.1/2",5
"서울특별시","중기업","2010.2/2",17
"서울특별시","중기업","2011.1/2",0
"서울특별시","중기업","2011.2/2",10
"서울특별시","중기업","2012.1/2",6
"서울특별시","중기업","2012.2/2",20
"서울특별시","중기업","2013.1/2",7
