,서울,경기
2003년 11월,55.598,52.449
2003년 12월,54.716,51.745
2004년 01월,54.381,51.378
2004년 02월,54.458,51.493
2004년 03월,54.551,51.756
2004년 04월,54.514,51.812
2004년 05월,54.235,51.656
2004년 06월,53.548,51.118
2004년 07월,53.006,50.549
2004년 08월,52.404,49.74
2004년 09월,51.956,49.355
2004년 10월,51.584,49.007
2004년 11월,51.017,48.321
2004년 12월,50.45,47.754
2005년 01월,50.044,47.42
2005년 02월,50.062,47.715
2005년 03월,50.132,48.182
2005년 04월,50.187,48.617
2005년 05월,50.131,48.84
2005년 06월,50.11,49.235
2005년 07월,50.096,49.397
2005년 08월,50.219,49.713
2005년 09월,50.772,50.459
2005년 10월,51.233,50.993
2005년 11월,51.401,51.208
2005년 12월,51.488,51.29
2006년 01월,51.807,51.369
2006년 02월,52.183,51.659
2006년 03월,52.822,52.205
2006년 04월,53.312,52.659
2006년 05월,53.581,53.037
2006년 06월,53.724,53.126
2006년 07월,53.844,53.197
2006년 08월,54.046,53.453
2006년 09월,54.742,54.224
2006년 10월,55.531,55.298
2006년 11월,56.41,56.38
2006년 12월,56.792,57.012
2007년 01월,57.156,57.643
2007년 02월,57.497,58.079
2007년 03월,57.926,58.582
2007년 04월,58.323,59.004
2007년 05월,58.443,59.006
2007년 06월,58.55,59.03
2007년 07월,58.774,59.118
2007년 08월,58.967,59.278
2007년 09월,59.422,59.634
2007년 10월,59.698,59.884
2007년 11월,59.939,59.991
2007년 12월,60.036,60.04
2008년 01월,60.303,60.117
2008년 02월,60.651,60.373
2008년 03월,61.35,60.964
2008년 04월,62.044,61.61
2008년 05월,62.435,61.895
2008년 06월,62.946,62.321
2008년 07월,63.23,62.618
2008년 08월,63.388,62.751
2008년 09월,63.709,62.967
2008년 10월,63.74,63.021
2008년 11월,63.23,62.499
2008년 12월,61.78,61.242
2009년 01월,60.928,60.163
2009년 02월,60.916,59.843
2009년 03월,61.104,59.913
2009년 04월,61.325,60.056
2009년 05월,61.519,60.301
2009년 06월,61.777,60.443
2009년 07월,62.191,60.694
2009년 08월,62.68,61.143
2009년 09월,64.084,62.299
2009년 10월,64.768,62.79
2009년 11월,65.157,63.034
2009년 12월,65.332,62.984
2010년 01월,65.595,63.024
2010년 02월,66.051,63.263
2010년 03월,66.545,63.709
2010년 04월,66.887,64.115
2010년 05월,67.045,64.328
2010년 06월,67.165,64.459
2010년 07월,67.226,64.531
2010년 08월,67.392,64.678
2010년 09월,67.824,65.174
2010년 10월,68.437,65.872
2010년 11월,68.963,66.655
2010년 12월,69.358,67.046
2011년 01월,69.985,67.601
2011년 02월,71.113,68.971
2011년 03월,72.071,70.716
2011년 04월,72.656,71.898
2011년 05월,72.679,71.91
2011년 06월,73.003,72.338
2011년 07월,73.596,72.923
2011년 08월,74.644,73.884
2011년 09월,75.806,75.119
2011년 10월,76.464,75.885
2011년 11월,76.604,75.922
2011년 12월,76.531,75.725
2012년 01월,76.478,75.884
2012년 02월,76.523,75.993
2012년 03월,76.528,75.923
2012년 04월,76.312,75.834
2012년 05월,76.065,75.727
2012년 06월,75.88,75.599
2012년 07월,75.609,75.386
2012년 08월,75.466,75.261
2012년 09월,75.845,75.424
2012년 10월,76.356,75.678
