,서울,경기
2003년 11월,55.603,56.37
2003년 12월,55.203,55.992
2004년 01월,55.055,55.681
2004년 02월,55.275,55.741
2004년 03월,55.506,55.876
2004년 04월,55.691,55.994
2004년 05월,55.721,55.874
2004년 06월,55.582,55.59
2004년 07월,55.424,55.264
2004년 08월,55.117,54.933
2004년 09월,54.919,54.678
2004년 10월,54.684,54.446
2004년 11월,54.449,54.041
2004년 12월,54.187,53.748
2005년 01월,54.021,53.53
2005년 02월,54.342,53.81
2005년 03월,54.507,54.121
2005년 04월,54.859,54.449
2005년 05월,55.174,54.825
2005년 06월,55.796,55.664
2005년 07월,56.469,56.469
2005년 08월,56.693,56.716
2005년 09월,56.906,56.839
2005년 10월,56.912,56.768
2005년 11월,57.043,56.687
2005년 12월,57.25,56.782
2006년 01월,57.58,57.004
2006년 02월,57.988,57.379
2006년 03월,58.631,57.879
2006년 04월,59.514,58.622
2006년 05월,60.354,59.749
2006년 06월,60.812,60.406
2006년 07월,61.059,60.755
2006년 08월,61.268,61.109
2006년 09월,61.901,61.843
2006년 10월,63.145,63.662
2006년 11월,66.037,68.003
2006년 12월,68.046,70.662
2007년 01월,69.468,72.356
2007년 02월,70.066,73.142
2007년 03월,70.523,73.596
2007년 04월,70.938,73.921
2007년 05월,71.115,74.067
2007년 06월,71.454,74.284
2007년 07월,71.985,74.673
2007년 08월,72.333,75.059
2007년 09월,73.019,75.54
2007년 10월,73.611,76.087
2007년 11월,74.295,76.531
2007년 12월,74.723,76.737
2008년 01월,75.49,77.067
2008년 02월,76.148,77.527
2008년 03월,77.711,78.543
2008년 04월,79.423,79.79
2008년 05월,80.674,80.683
2008년 06월,82.079,81.847
2008년 07월,82.829,82.45
2008년 08월,83.192,82.775
2008년 09월,83.604,83.042
2008년 10월,83.59,82.763
2008년 11월,83.017,81.822
2008년 12월,81.867,80.864
2009년 01월,81.297,80.128
2009년 02월,81.203,79.744
2009년 03월,81.081,79.471
2009년 04월,81.279,79.469
2009년 05월,81.38,79.63
2009년 06월,81.679,79.763
2009년 07월,82.265,80.002
2009년 08월,82.71,80.29
2009년 09월,83.637,80.821
2009년 10월,84.037,81.038
2009년 11월,84.132,81.068
2009년 12월,84.167,80.973
2010년 01월,84.277,80.927
2010년 02월,84.469,80.958
2010년 03월,84.532,80.963
2010년 04월,84.517,80.873
2010년 05월,84.303,80.486
2010년 06월,84.098,80.113
2010년 07월,83.812,79.547
2010년 08월,83.495,79.157
2010년 09월,83.34,79.023
2010년 10월,83.244,78.919
2010년 11월,83.193,78.895
2010년 12월,83.222,78.937
2011년 01월,83.359,79.045
2011년 02월,83.555,79.341
2011년 03월,83.743,79.702
2011년 04월,83.858,80.013
2011년 05월,83.965,80.012
2011년 06월,83.949,80.024
2011년 07월,83.892,80.041
2011년 08월,83.992,80.119
2011년 09월,83.974,80.215
2011년 10월,83.965,80.273
2011년 11월,83.895,80.268
2011년 12월,83.795,80.186
2012년 01월,83.658,80.061
2012년 02월,83.539,80.023
2012년 03월,83.263,79.884
2012년 04월,82.86,79.723
2012년 05월,82.535,79.52
2012년 06월,82.126,79.208
2012년 07월,81.751,78.827
2012년 08월,81.249,78.431
2012년 09월,80.848,78.025
2012년 10월,80.512,77.665
2012년 11월,80.214,77.346
2012년 12월,79.818,76.991
2013년 01월,79.411,76.583
2013년 02월,79.168,76.304
2013년 03월,79.104,76.09
2013년 04월,79.137,76.032
2013년 05월,79.255,76.138
2013년 06월,79.068,76.155
2013년 07월,78.73,75.968
2013년 08월,78.404,75.79
2013년 09월,78.407,75.793
2013년 10월,78.668,76.036
2013년 11월,78.717,76.153
2013년 12월,78.693,76.241
2014년 01월,78.873,76.403
2014년 02월,79.057,76.623
2014년 03월,79.234,76.886
2014년 04월,79.225,76.832
2014년 05월,79.169,76.756
2014년 06월,79.11,76.727
2014년 07월,79.075,76.707
2014년 08월,79.113,76.788
2014년 09월,79.308,77.08
2014년 10월,79.506,77.31
2014년 11월,79.582,77.464
2014년 12월,79.582,77.567
2015년 01월,79.651,77.699
2015년 02월,79.811,77.931
2015년 03월,80.097,78.242
2015년 04월,80.509,78.709
2015년 05월,80.86,79.083
2015년 06월,81.265,79.461
2015년 07월,81.571,79.738
2015년 08월,81.873,79.994
2015년 09월,82.24,80.294
2015년 10월,82.622,80.643
2015년 11월,83.001,80.919
2015년 12월,83.242,81.033
2016년 01월,83.282,81.063
