,서울특별시,경기도,인천광역시
2008년 01월,10201656,11122132,2668424
2008년 02월,10212056,11138154,2672234
2008년 03월,10206136,11144564,2674242
2008년 04월,10206862,11164324,2678797
2008년 05월,10204867,11182935,2681953
2008년 06월,10196863,11194861,2684524
2008년 07월,10196644,11212042,2687508
2008년 08월,10197320,11228502,2688542
2008년 09월,10198705,11244759,2689531
2008년 10월,10200440,11261364,2689737
2008년 11월,10199174,11276397,2690513
2008년 12월,10200827,11292264,2692696
2009년 01월,10207304,11300278,2693123
2009년 02월,10221170,11314204,2693408
2009년 03월,10225908,11320860,2694708
2009년 04월,10218707,11335127,2693722
2009년 05월,10222778,11347524,2695783
2009년 06월,10226685,11359140,2697339
2009년 07월,10229471,11372226,2699001
2009년 08월,10230476,11386340,2700791
2009년 09월,10228160,11402705,2703325
2009년 10월,10224788,11419314,2706114
2009년 11월,10217035,11439405,2708884
2009년 12월,10208302,11460610,2710579
2010년 01월,10213153,11484241,2714309
2010년 02월,10214085,11506199,2716783
2010년 03월,10208670,11530894,2718704
2010년 04월,10203549,11551813,2720738
2010년 05월,10197997,11571684,2722708
2010년 06월,10194327,11589717,2724315
2010년 07월,10191949,11606318,2725973
2010년 08월,10189598,11623584,2727366
2010년 09월,10186556,11639429,2728709
2010년 10월,10328915,11747198,2754569
2010년 11월,10319500,11766189,2756076
2010년 12월,10312545,11786622,2758296
2011년 01월,10312835,11801232,2761122
2011년 02월,10314245,11815120,2765025
2011년 03월,10307783,11829316,2768648
2011년 04월,10301829,11841400,2772131
2011년 05월,10295643,11854092,2775394
2011년 06월,10288284,11862889,2779133
2011년 07월,10282472,11874213,2782458
2011년 08월,10277507,11887932,2786717
2011년 09월,10271880,11898590,2790226
2011년 10월,10266174,11908014,2794493
2011년 11월,10257741,11920340,2798762
2011년 12월,10249679,11937415,2801274
2012년 01월,10250134,11948596,2804287
2012년 02월,10251297,11961481,2808286
2012년 03월,10245782,11972408,2811410
2012년 04월,10241387,11984985,2815158
2012년 05월,10237054,11998173,2818348
2012년 06월,10232281,12009150,2820994
2012년 07월,10227761,12021422,2824150
2012년 08월,10223243,12035714,2828342
2012년 09월,10219334,12047601,2831729
2012년 10월,10212445,12060335,2836080
2012년 11월,10205843,12071878,2840308
2012년 12월,10195318,12093299,2843981
2013년 01월,10195064,12107216,2846899
2013년 02월,10196434,12123024,2850543
2013년 03월,10192057,12133590,2853489
2013년 04월,10185955,12144383,2856667
2013년 05월,10181807,12156714,2859335
2013년 06월,10176560,12167575,2861722
2013년 07월,10172002,12181553,2864951
2013년 08월,10168997,12193532,2867429
2013년 09월,10166691,12203080,2870125
2013년 10월,10162099,12211807,2873451
2013년 11월,10154180,12219786,2876797
2013년 12월,10143645,12234630,2879782
2014년 01월,10143164,12245960,2882047
2014년 02월,10144173,12256617,2884824
2014년 03월,10141727,12266541,2886580
2014년 04월,10137313,12276751,2889258
2014년 05월,10133734,12286470,2891615
2014년 06월,10129223,12300698,2892483
2014년 07월,10125912,12313649,2894151
2014년 08월,10124243,12324470,2895292
2014년 09월,10122661,12334023,2897018
2014년 10월,10117909,12342448,2899071
2014년 11월,10112156,12348078,2900996
2014년 12월,10103233,12357830,2902608
2015년 01월,10104515,12366711,2904876
2015년 02월,10105206,12376944,2906603
2015년 03월,10100987,12392297,2908418
2015년 04월,10094889,12405279,2910307
2015년 05월,10088393,12418899,2912114
2015년 06월,10078850,12432063,2914271
2015년 07월,10071654,12444924,2916719
2015년 08월,10063197,12460604,2918982
2015년 09월,10055027,12475565,2920938
2015년 10월,10045027,12491080,2923030
2015년 11월,10035597,12504790,2924578
2015년 12월,10022181,12522606,2925815
2016년 01월,10018537,12536474,2927195
2016년 02월,10014261,12551398,2928596
2016년 03월,10009588,12565891,2929817
2016년 04월,10002979,12578597,2932141
2016년 05월,9995784,12594829,2933959
2016년 06월,9989795,12610877,2935314
2016년 07월,9981673,12629325,2937217
2016년 08월,9971111,12649894,2938902
2016년 09월,9964291,12666278,2940436
2016년 10월,9954791,12683730,2941793
2016년 11월,9943333,12699920,2942613
2016년 12월,9930616,12716780,2943069
2017년 01월,9930478,12728620,2944009
2017년 02월,9931412,12741266,2944266
2017년 03월,9926968,12753983,2944630
2017년 04월,9922745,12763961,2945305
2017년 05월,9919016,12775175,2946270
2017년 06월,9914381,12783741,2946915
2017년 07월,9908612,12795378,2947803
2017년 08월,9902072,12810014,2948014
2017년 09월,9891448,12827633,2947298
2017년 10월,9882810,12841321,2948098
2017년 11월,9870167,12858161,2948241
2017년 12월,9857426,12873895,2948542
2018년 01월,9851767,12890445,2950771
2018년 02월,9845336,12908010,2951629
2018년 03월,9838892,12925761,2951442
2018년 04월,9830452,12941604,2952476
2018년 05월,9820971,12958648,2953255
2018년 06월,9814049,12975176,2953883
2018년 07월,9806538,12993165,2953841
2018년 08월,9799075,13012486,2953206
2018년 09월,9793003,13027338,2953116
2018년 10월,9784112,13045223,2953333
2018년 11월,9774088,13061074,2953844
2018년 12월,9765623,13077153,2954642
2019년 01월,9766288,13090648,2955916
2019년 02월,9770638,13104696,2956063
2019년 03월,9770216,13116579,2956513
2019년 04월,9766886,13129508,2956700
2019년 05월,9762062,13145482,2957179
2019년 06월,9757144,13159178,2957024
2019년 07월,9751415,13176011,2956828
2019년 08월,9744888,13193943,2956525
2019년 09월,9740398,13207219,2956804
2019년 10월,9736289,13218912,2956984
