,서울,경기
2012년 01월,2723,1669
2012년 02월,2725,1671
2012년 03월,2723,1669
2012년 04월,2714,1667
2012년 05월,2704,1663
2012년 06월,2696,1660
2012년 07월,2684,1653
2012년 08월,2678,1650
2012년 09월,2691,1653
2012년 10월,2710,1659
2012년 11월,2726,1662
2012년 12월,2731,1660
2013년 01월,2741,1663
2013년 02월,2755,1665
2013년 03월,2775,1672
2013년 04월,2789,1684
2013년 05월,2793,1690
2013년 06월,2796,1696
2013년 07월,2812,1702
2013년 08월,2839,1715
2013년 09월,2870,1731
2013년 10월,2907,1752
2013년 11월,2928,1768
2013년 12월,2944,1782
2014년 01월,2984,1811
2014년 02월,3004,1831
2014년 03월,3021,1849
2014년 04월,3024,1853
2014년 05월,3023,1853
2014년 06월,3023,1856
2014년 07월,3027,1863
2014년 08월,3033,1870
2014년 09월,3044,1885
2014년 10월,3056,1897
2014년 11월,3069,1909
2014년 12월,3078,1919
2015년 01월,3086,1921
2015년 02월,3105,1934
2015년 03월,3128,1950
2015년 04월,3160,1972
2015년 05월,3184,1990
2015년 06월,3210,2007
2015년 07월,3369,2144
2015년 08월,3387,2155
2015년 09월,3414,2169
2015년 10월,3439,2185
2015년 11월,3478,2199
2015년 12월,3499,2208
2016년 01월,3508,2213
2016년 02월,3519,2217
2016년 03월,3526,2222
2016년 04월,3533,2228
2016년 05월,3539,2233
2016년 06월,3551,2240
2016년 07월,3560,2246
2016년 08월,3567,2253
2016년 09월,3561,2272
2016년 10월,3574,2279
2016년 11월,3583,2284
2016년 12월,3588,2286
2017년 01월,3591,2286
2017년 02월,3593,2288
2017년 03월,3605,2290
2017년 04월,3614,2294
2017년 05월,3625,2298
2017년 06월,3639,2301
2017년 07월,3648,2303
2017년 08월,3656,2308
2017년 09월,3661,2310
2017년 10월,3667,2313
2017년 11월,3676,2316
2017년 12월,4424,2590
2018년 01월,4436,2587
2018년 02월,4445,2579
2018년 03월,4437,2573
2018년 04월,4424,2566
2018년 05월,4408,2554
2018년 06월,4398,2544
2018년 07월,4398,2534
2018년 08월,4409,2526
2018년 09월,4427,2524
2018년 10월,4433,2525
2018년 11월,4432,2524
2018년 12월,4424,2516
2019년 01월,4547,2558
2019년 02월,4522,2550
2019년 03월,4499,2540
2019년 04월,4489,2524
2019년 05월,4484,2515
2019년 06월,4482,2507
2019년 07월,4484,2503
2019년 08월,4489,2503
2019년 09월,4496,2509
2019년 10월,4508,2520
2019년 11월,4523,2532
2019년 12월,4546,2547
2020년 01월,4831,2652
2020년 02월,4841,2667
2020년 03월,4848,2679
2020년 04월,4854,2684
2020년 05월,4858,2690
2020년 06월,4868,2706
2020년 07월,4885,2727
2020년 08월,4911,2753
2020년 09월,4934,2785
2020년 10월,4953,2812
2020년 11월,4986,2840
2020년 12월,5025,2876
2021년 01월,5055,2905
2021년 02월,5080,2933
2021년 03월,5099,2951
2021년 04월,5109,2961
2021년 05월,5116,2972
2021년 06월,5152,2997
2021년 07월,6242,3693
2021년 08월,6238,3731
2021년 09월,6277,3768
2021년 10월,6313,3803
2021년 11월,6340,3824
2021년 12월,6356,3831
2022년 01월,6357,3827
2022년 02월,6350,3821
2022년 03월,6339,3814
2022년 04월,6336,3809
2022년 05월,6341,3806
2022년 06월,6340,3799
2022년 07월,6334,3791
2022년 08월,6321,3766
2022년 09월,6285,3725
2022년 10월,6211,3657
2022년 11월,6075,3546
2022년 12월,5858,3388
2023년 01월,5750,3304
2023년 02월,5610,3194
2023년 03월,5534,3137
2023년 04월,5500,3110
2023년 05월,5494,3107
2023년 06월,5495,3112
2023년 07월,5504,3122
2023년 08월,5525,3143
2023년 09월,5534,3175
2023년 10월,5562,3213
2023년 11월,5591,3238
2023년 12월,5608,3250
2024년 01월,5672,3301
2024년 02월,5679,3307
2024년 03월,5690,3313
2024년 04월,5703,3323
2024년 05월,5720,3334
