,서울,경기
2012년 01월,0.4283467044203241,0.4356564865570347
2012년 02월,0.42866131823187037,0.4361785434612373
2012년 03월,0.4283467044203241,0.4356564865570347
2012년 04월,0.4269309422683656,0.43513442965283217
2012년 05월,0.42535787321063395,0.43409031584442703
2012년 06월,0.42409941796444867,0.4333072304881232
2012년 07월,0.4222117350951707,0.4314800313234142
2012년 08월,0.4212678936605317,0.4306969459671104
2012년 09월,0.4233128834355828,0.4314800313234142
2012년 10월,0.42630171464527294,0.4330462020360219
2012년 11월,0.4288186251376435,0.4338292873923258
2012년 12월,0.42960515966650936,0.4333072304881232
2013년 01월,0.431178228724241,0.43409031584442703
2013년 02월,0.4333805254050653,0.4346123727486296
2013년 03월,0.43652666352052855,0.43643957191333854
2013년 04월,0.4387289602013528,0.4395719133385539
2013년 05월,0.43935818782444547,0.44113808405116156
2013년 06월,0.43983010854176496,0.44270425476376923
2013년 07월,0.4423470190341356,0.4442704254763769
2013년 08월,0.446594305490011,0.44766379535369355
2013년 09월,0.45147081956897905,0.45184025058731403
2013년 10월,0.4572911750825861,0.4573218480814409
2013년 11월,0.46059462010382257,0.46149830331506136
2013년 12월,0.4631115305961932,0.46515270164447925
2014년 01월,0.4694038068271197,0.4727225267554163
2014년 02월,0.47254994494258296,0.47794309579744193
2014년 03월,0.4752241623407268,0.48264160793526495
2014년 04월,0.4756960830580462,0.4836857217436701
2014년 05월,0.4755387761522731,0.4836857217436701
2014년 06월,0.4755387761522731,0.4844688070999739
2014년 07월,0.4761680037753657,0.48629600626468283
2014년 08월,0.4771118452100047,0.4881232054293918
2014년 09월,0.4788422211735095,0.492038632210911
2014년 10월,0.4807299040427875,0.49517097363612633
2014년 11월,0.4827748938178386,0.4983033150613417
2014년 12월,0.4841906559697971,0.5009135995823545
2015년 01월,0.4854491112159824,0.5014356564865571
2015년 02월,0.4884379424256725,0.5048290263638736
2015년 03월,0.4920560012584552,0.5090054815974941
2015년 04월,0.4970898222431965,0.5147481075437222
2015년 05월,0.5008651879817524,0.5194466196815453
2015년 06월,0.5049551675318547,0.523884103367267
2015년 07월,0.5299669655497876,0.5596450013051423
2015년 08월,0.5327984898537046,0.5625163142782563
2015년 09월,0.53704577630958,0.5661707126076743
2015년 10월,0.5409784489539091,0.5703471678412947
2015년 11월,0.5471134182790625,0.5740015661707126
2015년 12월,0.5504168633002989,0.5763508222396241
2016년 01월,0.5518326254522573,0.5776559645001305
2016년 02월,0.5535630014157622,0.5787000783085356
2016년 03월,0.5546641497561743,0.580005220569042
2016년 04월,0.5557652980965865,0.5815713912816497
2016년 05월,0.5567091395312255,0.5828765335421561
2016년 06월,0.5585968224005033,0.584703732706865
2016년 07월,0.5600125845524618,0.5862699034194727
2016년 08월,0.561113732892874,0.5880971025841817
2016년 09월,0.560169891458235,0.593056643174106
2016년 10월,0.5622148812332861,0.594883842338815
2016년 11월,0.5636306433852446,0.5961889845993213
2016년 12월,0.5644171779141104,0.5967110415035238
2017년 01월,0.5648890986314299,0.5967110415035238
2017년 02월,0.5652037124429763,0.5972330984077264
2017년 03월,0.5670913953122542,0.597755155311929
2017년 04월,0.5685071574642127,0.5987992691203341
2017년 05월,0.5702375334277174,0.5998433829287392
2017년 06월,0.5724398301085417,0.6006264682850431
2017년 07월,0.5738555922605002,0.6011485251892457
2017년 08월,0.5751140475066855,0.602453667449752
2017년 09월,0.5759005820355514,0.6029757243539546
2017년 10월,0.5768444234701904,0.6037588097102584
2017년 11월,0.5782601856221488,0.6045418950665623
2017년 12월,0.6959257511404751,0.6760636909423127
2018년 01월,0.697813434009753,0.6752806055860089
2018년 02월,0.6992291961617115,0.6731923779691986
2018년 03월,0.6979707409155262,0.671626207256591
2018년 04월,0.6959257511404751,0.669799008091882
2018년 05월,0.6934088406481045,0.6666666666666666
2018년 06월,0.6918357715903728,0.6640563821456539
2018년 07월,0.6918357715903728,0.6614460976246411
2018년 08월,0.6935661475538776,0.6593578700078309
2018년 09월,0.6963976718577946,0.6588358131036283
2018년 10월,0.6973415132924335,0.6590968415557296
2018년 11월,0.6971842063866603,0.6588358131036283
2018년 12월,0.6959257511404751,0.6567475854868181
2019년 01월,0.7152745005505742,0.6677107804750718
2019년 02월,0.7113418279062451,0.6656225528582616
2019년 03월,0.7077237690734623,0.6630122683372488
2019년 04월,0.7061507000157307,0.6588358131036283
2019년 05월,0.7053641654868649,0.6564865570347168
2019년 06월,0.7050495516753186,0.6543983294179065
2019년 07월,0.7053641654868649,0.6533542156095015
2019년 08월,0.7061507000157307,0.6533542156095015
2019년 09월,0.7072518483561429,0.6549203863221091
2019년 10월,0.7091395312254208,0.6577916992952232
2019년 11월,0.7114991348120182,0.6609240407204385
2019년 12월,0.715117193644801,0.6648394675019577
2020년 01월,0.7599496617901526,0.692247454972592
2020년 02월,0.7615227308478842,0.6961628817541112
2020년 03월,0.7626238791882963,0.6992952231793266
2020년 04월,0.7635677206229353,0.700600365439833
2020년 05월,0.764196948246028,0.7021665361524406
2020년 06월,0.7657700173037596,0.706342991386061
2020년 07월,0.7684442347019034,0.711824588880188
2020년 08월,0.7725342142520056,0.7186113286348212
2020년 09월,0.7761522730847884,0.7269642391020621
2020년 10월,0.7791411042944786,0.7340120073087967
2020년 11월,0.7843322321849929,0.7413208039676324
2020년 12월,0.7904672015101463,0.7507178282432785
2021년 01월,0.7951864086833412,0.7582876533542157
2021년 02월,0.7991190813276703,0.7655964500130514
2021년 03월,0.8021079125373604,0.7702949621508745
2021년 04월,0.803680981595092,0.7729052466718872
2021년 05월,0.8047821299355041,0.7757765596450013
2021년 06월,0.8104451785433381,0.7823022709475332
2021년 07월,0.9819097058360862,0.9639780736100235
2021년 08월,0.9812804782129936,0.973897154789872
2021년 09월,0.9874154475381469,0.9835552075176194
2021년 10월,0.9930784961459808,0.9926912033411642
2021년 11월,0.9973257826018562,0.998172800835291
2021년 12월,0.9998426930942268,1.0
2022년 01월,1.0,0.9989558861915949
2022년 02월,0.9988988516595878,0.9973897154789872
2022년 03월,0.997168475696083,0.9955625163142783
2022년 04월,0.9966965549787635,0.9942573740537719
2022년 05월,0.9974830895076294,0.993474288697468
2022년 06월,0.9973257826018562,0.991647089532759
2022년 07월,0.9963819411672172,0.9895588619159489
2022년 08월,0.9943369513921662,0.9830331506134169
2022년 09월,0.9886739027843322,0.9723309840772644
2022년 10월,0.9770331917571181,0.9545810493343775
2022년 11월,0.9556394525719679,0.9256068911511355
2022년 12월,0.9215038540191914,0.8843643957191334
2023년 01월,0.9045147081956898,0.862438005742626
2023년 02월,0.8824917413874469,0.8337248760114853
2023년 03월,0.8705364165486865,0.8188462542417123
2023년 04월,0.865187981752399,0.8117984860349778
2023년 05월,0.86424414031776,0.811015400678674
2023년 06월,0.8644014472235331,0.8123205429391803
2023년 07월,0.8658172093754916,0.8149308274601932
2023년 08월,0.869120654396728,0.82041242495432
2023년 09월,0.8705364165486865,0.828765335421561
2023년 10월,0.8749410099103351,0.8386844166014096
2023년 11월,0.8795029101777568,0.8452101279039416
2023년 12월,0.8821771275759006,0.8483424693291569
2024년 01월,0.892244769545383,0.8616549203863221
2024년 02월,0.8933459178857952,0.8632210910989297
2024년 03월,0.8950762938493,0.8647872618115374
2024년 04월,0.8971212836243511,0.8673975463325503
2024년 05월,0.8997955010224948,0.8702688593056643
