,서울,경기
2012년 01월,5465,2969
2012년 02월,5453,2967
2012년 03월,5432,2960
2012년 04월,5402,2953
2012년 05월,5381,2944
2012년 06월,5348,2931
2012년 07월,5319,2914
2012년 08월,5278,2895
2012년 09월,5245,2877
2012년 10월,5218,2860
2012년 11월,5199,2845
2012년 12월,5154,2822
2013년 01월,5126,2804
2013년 02월,5111,2792
2013년 03월,5112,2783
2013년 04월,5095,2782
2013년 05월,5105,2786
2013년 06월,5091,2787
2013년 07월,5065,2780
2013년 08월,5044,2773
2013년 09월,5048,2774
2013년 10월,5067,2784
2013년 11월,5069,2790
2013년 12월,5067,2794
2014년 01월,5082,2818
2014년 02월,5097,2827
2014년 03월,5111,2839
2014년 04월,5112,2839
2014년 05월,5108,2836
2014년 06월,5104,2835
2014년 07월,5104,2835
2014년 08월,5109,2839
2014년 09월,5127,2853
2014년 10월,5143,2864
2014년 11월,5148,2871
2014년 12월,5147,2876
2015년 01월,5138,2864
2015년 02월,5152,2874
2015년 03월,5176,2887
2015년 04월,5206,2907
2015년 05월,5234,2924
2015년 06월,5265,2940
2015년 07월,5321,3012
2015년 08월,5345,3024
2015년 09월,5372,3036
2015년 10월,5399,3052
2015년 11월,5407,3063
2015년 12월,5423,3069
2016년 01월,5423,3070
2016년 02월,5412,3070
2016년 03월,5411,3070
2016년 04월,5417,3070
2016년 05월,5429,3072
2016년 06월,5435,3076
2016년 07월,5454,3080
2016년 08월,5473,3085
2016년 09월,5459,3096
2016년 10월,5493,3099
2016년 11월,5514,3105
2016년 12월,5517,3107
2017년 01월,5517,3107
2017년 02월,5522,3108
2017년 03월,5540,3110
2017년 04월,5557,3113
2017년 05월,5580,3118
2017년 06월,5631,3124
2017년 07월,5655,3133
2017년 08월,5685,3147
2017년 09월,5687,3155
2017년 10월,5704,3161
2017년 11월,5729,3168
2017년 12월,6688,3450
2018년 01월,6784,3459
2018년 02월,6877,3474
2018년 03월,6922,3486
2018년 04월,6941,3495
2018년 05월,6951,3499
2018년 06월,6960,3501
2018년 07월,6973,3503
2018년 08월,7027,3507
2018년 09월,7131,3536
2018년 10월,7164,3559
2018년 11월,7167,3572
2018년 12월,7161,3572
2019년 01월,7886,3761
2019년 02월,7860,3753
2019년 03월,7833,3744
2019년 04월,7815,3726
2019년 05월,7805,3714
2019년 06월,7803,3706
2019년 07월,7813,3706
2019년 08월,7826,3710
2019년 09월,7840,3719
2019년 10월,7883,3731
2019년 11월,7933,3749
2019년 12월,8034,3779
2020년 01월,8611,3975
2020년 02월,8615,4019
2020년 03월,8619,4086
2020년 04월,8606,4124
2020년 05월,8589,4143
2020년 06월,8601,4175
2020년 07월,8676,4225
2020년 08월,8715,4263
2020년 09월,8738,4297
2020년 10월,8749,4314
2020년 11월,8762,4353
2020년 12월,8788,4404
2021년 01월,8828,4464
2021년 02월,8882,4553
2021년 03월,8916,4620
2021년 04월,8952,4681
2021년 05월,8997,4736
2021년 06월,9082,4835
2021년 07월,10799,5826
2021년 08월,10787,5924
2021년 09월,10877,6016
2021년 10월,10964,6095
2021년 11월,11030,6140
2021년 12월,11059,6157
2022년 01월,11062,6154
2022년 02월,11053,6148
2022년 03월,11044,6137
2022년 04월,11050,6132
2022년 05월,11045,6124
2022년 06월,11043,6107
2022년 07월,11031,6090
2022년 08월,10997,6050
2022년 09월,10934,5989
2022년 10월,10825,5901
2022년 11월,10654,5758
2022년 12월,10416,5553
2023년 01월,10341,5479
2023년 02월,10252,5361
2023년 03월,10196,5293
2023년 04월,10166,5255
2023년 05월,10170,5249
2023년 06월,10195,5258
2023년 07월,10223,5278
2023년 08월,10268,5299
2023년 09월,10315,5337
2023년 10월,10349,5368
2023년 11월,10360,5375
2023년 12월,10351,5368
2024년 01월,10397,5423
2024년 02월,10387,5409
2024년 03월,10390,5397
2024년 04월,10408,5394
2024년 05월,10432,5393
