,서울,경기
2012년 01월,0.4940336286385825,0.48221536462562936
2012년 02월,0.49294883384559757,0.4818905311028098
2012년 03월,0.4910504429578738,0.48075361377294135
2012년 04월,0.4883384559754113,0.4796166964430729
2012년 05월,0.48644006508768756,0.4781549455903849
2012년 06월,0.48345687940697885,0.4760435276920578
2012년 07월,0.48083529199059843,0.4732824427480916
2012년 08월,0.47712890978123307,0.4701965242813058
2012년 09월,0.4741457241005243,0.46727302257592984
2012년 10월,0.47170493581630807,0.46451193763196363
2012년 11월,0.4699873440607485,0.46207568621081696
2012년 12월,0.46591936358705477,0.4583401006983921
2013년 01월,0.46338817573675645,0.45541659899301606
2013년 02월,0.4620321822455252,0.45346759785609875
2013년 03월,0.4621225818116073,0.45200584700341073
2013년 04월,0.4605857891882119,0.45184343024200097
2013년 05월,0.46148978484903275,0.4524930972876401
2013년 06월,0.46022419092388356,0.45265551404904986
2013년 07월,0.4578738022057494,0.45151859671918143
2013년 08월,0.45597541131802566,0.45038167938931295
2013년 09월,0.456337009582354,0.4505440961507228
2013년 10월,0.4580546013379136,0.45216826376482055
2013년 11월,0.45823540047007777,0.4531427643332792
2013년 12월,0.4580546013379136,0.4537924313789183
2014년 01월,0.4594105948291448,0.45769043365275297
2014년 02월,0.46076658832037604,0.459152184505441
2014년 03월,0.4620321822455252,0.4611011856423583
2014년 04월,0.4621225818116073,0.4611011856423583
2014년 05월,0.46176098354727896,0.46061393535812895
2014년 06월,0.46139938528295066,0.4604515185967192
2014년 07월,0.46139938528295066,0.4604515185967192
2014년 08월,0.46185138311336105,0.4611011856423583
2014년 09월,0.46347857530283854,0.46337502030209515
2014년 10월,0.46492496836015185,0.4651616046776027
2014년 11월,0.4653769661905623,0.4662985220074712
2014년 12월,0.4652865666244802,0.4671106058145201
2015년 01월,0.46447297052974146,0.4651616046776027
2015년 02월,0.4657385644548906,0.4667857722917005
2015년 03월,0.4679081540408606,0.4688971901900276
2015년 04월,0.4706201410233231,0.47214552541822313
2015년 05월,0.4731513288736214,0.4749066103621894
2015년 06월,0.47595371542216597,0.47750527854474584
2015년 07월,0.4810160911227626,0.4891992853662498
2015년 08월,0.4831856807087326,0.4911482865031671
2015년 09월,0.4856264689929488,0.4930972876400845
2015년 10월,0.48806725727716505,0.4956959558226409
2015년 11월,0.48879045380582176,0.49748254019814847
2015년 12월,0.49023684686313507,0.49845704076660713
2016년 01월,0.49023684686313507,0.4986194575280169
2016년 02월,0.48924245163623215,0.4986194575280169
2016년 03월,0.48915205207015006,0.4986194575280169
2016년 04월,0.48969444946664253,0.4986194575280169
2016년 05월,0.49077924425962755,0.49894429105083643
2016년 06월,0.4913216416561201,0.49959395809647555
2016년 07월,0.4930392334116796,0.5002436251421146
2016년 08월,0.4947568251672392,0.5010557089491635
2016년 09월,0.49349123124209004,0.5028422933246711
2016년 10월,0.49656481648888084,0.5033295436089005
2016년 11월,0.4984632073766046,0.5043040441773591
2016년 12월,0.49873440607485087,0.5046288777001786
2017년 01월,0.49873440607485087,0.5046288777001786
2017년 02월,0.49918640390526126,0.5047912944615884
2017년 03월,0.5008135960947387,0.505116127984408
2017년 04월,0.5023503887181342,0.5056033782686373
2017년 05월,0.5044295787380221,0.5064154620756862
2017년 06월,0.5090399566082083,0.5073899626441448
2017년 07월,0.5112095461941782,0.5088517134968329
2017년 08월,0.5139215331766408,0.5111255481565697
2017년 09월,0.5141023323088049,0.512424882247848
2017년 10월,0.5156391249322003,0.5133993828163066
2017년 11월,0.5178991140842524,0.5145363001461751
2017년 12월,0.6045922979569698,0.5603378268637323
2018년 01월,0.6132706563008498,0.5617995777164203
2018년 02월,0.6216778159464834,0.564235829137567
2018년 03월,0.6257457964201771,0.5661848302744843
2018년 04월,0.6274633881757368,0.5676465811271724
2018년 05월,0.6283673838365575,0.5682962481728114
2018년 06월,0.6291809799312963,0.568621081695631
2018년 07월,0.6303561742903634,0.5689459152184505
2018년 08월,0.6352377508587959,0.5695955822640897
2018년 09월,0.6446393057313324,0.5743056683449732
2018년 10월,0.6476224914120412,0.5780412538573981
2018년 11월,0.6478936901102875,0.5801526717557252
2018년 12월,0.647351292713795,0.5801526717557252
2019년 01월,0.712890978123305,0.6108494396621731
2019년 02월,0.7105405894051708,0.609550105570895
2019년 03월,0.7080998011209546,0.6080883547182069
2019년 04월,0.7064726089314771,0.605164853012831
2019년 05월,0.7055686132706563,0.6032158518759136
2019년 06월,0.7053878141384922,0.6019165177846354
2019년 07월,0.7062918097993129,0.6019165177846354
2019년 08월,0.70746700415838,0.6025661848302745
2019년 09월,0.7087325980835292,0.6040279356829625
2019년 10월,0.7126197794250587,0.6059769368198799
2019년 11월,0.7171397577291629,0.6089004385252558
2019년 12월,0.7262701139034533,0.6137729413675491
2020년 01월,0.7784306635328151,0.6456066266038655
2020년 02월,0.7787922617971433,0.6527529641058958
2020년 03월,0.7791538600614717,0.6636348871203508
2020년 04월,0.7779786657024046,0.6698067240539224
2020년 05월,0.7764418730790092,0.6728926425207081
2020년 06월,0.7775266678719942,0.678089978885821
2020년 07월,0.7843066353281504,0.6862108169563099
2020년 08월,0.7878322184053517,0.6923826538898814
2020년 09월,0.7899114084252395,0.6979048237778138
2020년 10월,0.7909058036521425,0.7006659087217801
2020년 11월,0.7920809980112096,0.7070001624167614
2020년 12월,0.7944313867293437,0.7152834172486601
2021년 01월,0.798047369372627,0.7250284229332468
2021년 02월,0.8029289459410595,0.7394835146987169
2021년 03월,0.8060025311878503,0.750365437713172
2021년 04월,0.8092569155668052,0.7602728601591684
2021년 05월,0.813324896040499,0.7692057820367062
2021년 06월,0.821008859157476,0.7852850414162742
2021년 07월,0.9762249141204122,0.9462400519733637
2021년 08월,0.9751401193274273,0.9621568945915219
2021년 09월,0.9832760802748147,0.9770992366412213
2021년 10월,0.9911408425239558,0.9899301607925938
2021년 11월,0.9971072138853734,0.9972389150560338
2021년 12월,0.9997288013017538,1.0
2022년 01월,1.0,0.9995127497157706
2022년 02월,0.9991864039052613,0.998538249147312
2022년 03월,0.9983728078105225,0.9967516647718044
2022년 04월,0.998915205207015,0.9959395809647555
2022년 05월,0.9984632073766045,0.9946402468734773
2022년 06월,0.9982824082444405,0.9918791619295111
2022년 07월,0.9971976134514554,0.9891180769855449
2022년 08월,0.9941240282046646,0.9826214065291539
2022년 09월,0.9884288555414934,0.9727139840831573
2022년 10월,0.9785753028385463,0.958421309079097
2022년 11월,0.9631169770385102,0.9351957121974988
2022년 12월,0.9416018803109745,0.9019002761084944
2023년 01월,0.9348219128548183,0.8898814357641709
2023년 02월,0.9267763514735129,0.8707162579178171
2023년 03월,0.9217139757729162,0.8596719181419522
2023년 04월,0.9190019887904538,0.8535000812083807
2023년 05월,0.9193635870547822,0.852525580639922
2023년 06월,0.9216235762068342,0.8539873314926101
2023년 07월,0.9241547640571325,0.8572356667208055
