,서울,경기
2006년 01월,11134,20852
2006년 02월,18818,25701
2006년 03월,26501,36072
2006년 04월,24970,33258
2006년 05월,27652,36701
2006년 06월,21608,31712
2006년 07월,17313,25823
2006년 08월,17485,24792
2006년 09월,29526,43364
2006년 10월,37881,50801
2006년 11월,49308,72915
2006년 12월,41196,48766
2007년 01월,21098,31750
2007년 02월,14272,22874
2007년 03월,16258,25205
2007년 04월,17041,25842
2007년 05월,15231,23188
2007년 06월,13641,22444
2007년 07월,14719,24636
2007년 08월,14475,23893
2007년 09월,13068,20264
2007년 10월,18655,29352
2007년 11월,18816,29076
2007년 12월,16060,21332
2008년 01월,14146,20928
2008년 02월,14465,19423
2008년 03월,21310,27733
2008년 04월,28426,34981
2008년 05월,23276,31122
2008년 06월,20601,30191
2008년 07월,17417,30305
2008년 08월,11180,19951
2008년 09월,9618,18340
2008년 10월,9202,16140
2008년 11월,6110,13230
2008년 12월,7446,12904
2009년 01월,6374,10330
2009년 02월,8740,16516
2009년 03월,11224,20590
2009년 04월,14187,23546
2009년 05월,14904,23824
2009년 06월,17328,25186
2009년 07월,18077,27509
2009년 08월,17295,26265
2009년 09월,19228,31571
2009년 10월,18168,29395
2009년 11월,12893,24794
2009년 12월,12544,25604
2010년 01월,9122,17370
2010년 02월,10892,17539
2010년 03월,13419,22303
2010년 04월,10924,20583
2010년 05월,8445,17658
2010년 06월,7579,18955
2010년 07월,6992,17688
2010년 08월,7169,15690
2010년 09월,6580,14689
2010년 10월,8404,19544
2010년 11월,10981,23011
2010년 12월,14720,29112
2011년 01월,10482,21354
2011년 02월,11579,20450
2011년 03월,15373,27178
2011년 04월,13350,22850
2011년 05월,11780,20516
2011년 06월,11124,18751
2011년 07월,9702,18731
2011년 08월,10824,19694
2011년 09월,10919,21938
2011년 10월,11369,21860
2011년 11월,10636,21351
2011년 12월,14458,28468
2012년 01월,5256,9455
2012년 02월,7973,14264
2012년 03월,9865,19848
2012년 04월,10353,18900
2012년 05월,10051,18024
2012년 06월,8889,15748
2012년 07월,8086,16551
2012년 08월,6547,14622
2012년 09월,5728,13211
2012년 10월,10548,20581
2012년 11월,12194,20638
2012년 12월,16604,28937
2013년 01월,6091,13631
2013년 02월,6805,14925
2013년 03월,11163,17718
2013년 04월,13570,22790
2013년 05월,15307,25910
2013년 06월,21231,33741
2013년 07월,8483,16437
2013년 08월,9174,15524
2013년 09월,10479,18163
2013년 10월,16072,28813
2013년 11월,15425,25783
2013년 12월,16968,29429
2014년 01월,12512,20354
2014년 02월,15354,25005
2014년 03월,18905,28913
2014년 04월,17646,28251
2014년 05월,14149,23666
2014년 06월,13437,21441
2014년 07월,15179,24460
2014년 08월,16517,25289
2014년 09월,18957,28592
2014년 10월,23343,36359
2014년 11월,19057,28934
2014년 12월,16935,28262
2015년 01월,14284,25540
2015년 02월,16390,25782
2015년 03월,26475,38930
2015년 04월,28465,41690
2015년 05월,27705,36929
2015년 06월,26297,37783
2015년 07월,27514,35909
2015년 08월,23005,33512
2015년 09월,21288,34412
2015년 10월,25046,38713
2015년 11월,23128,36556
2015년 12월,20716,33034
2016년 01월,15084,25227
2016년 02월,14656,23233
2016년 03월,19759,31118
2016년 04월,21733,33024
2016년 05월,24802,33557
2016년 06월,26779,37258
2016년 07월,29312,40373
2016년 08월,29173,43007
2016년 09월,24429,38756
2016년 10월,28902,46100
2016년 11월,26240,41696
2016년 12월,24725,40069
2017년 01월,14511,26857
2017년 02월,15879,26253
2017년 03월,19897,36306
2017년 04월,22378,34052
2017년 05월,25705,37531
2017년 06월,31062,45933
2017년 07월,30550,54327
2017년 08월,34758,54489
2017년 09월,24836,50528
2017년 10월,16345,45620
2017년 11월,19606,46887
2017년 12월,25654,45694
2018년 01월,25583,47280
2018년 02월,23538,44657
2018년 03월,33600,53987
2018년 04월,18594,41713
2018년 05월,20538,40856
2018년 06월,16275,41658
2018년 07월,22238,49163
2018년 08월,21273,48510
2018년 09월,26088,50778
2018년 10월,27127,58143
2018년 11월,15821,41741
2018년 12월,13603,32643
2019년 01월,13452,35999
2019년 02월,9027,31455
2019년 03월,12206,37580
2019년 04월,12897,36187
2019년 05월,13581,34209
2019년 06월,17434,33225
2019년 07월,20486,41993
2019년 08월,20565,43030
2019년 09월,17419,38336
2019년 10월,21670,50983
2019년 11월,23188,49002
2019년 12월,28973,49474
2020년 01월,25962,46352
2020년 02월,25188,62668
2020년 03월,24483,53167
2020년 04월,14963,34805
2020년 05월,17361,36848
2020년 06월,25543,64451
2020년 07월,37221,65058
2020년 08월,22099,38893
2020년 09월,20820,38704
2020년 10월,18036,46062
2020년 11월,18051,42424
2020년 12월,24168,61550
2021년 01월,22088,44157
2021년 02월,17700,41518
2021년 03월,17132,41852
2021년 04월,22519,43343
2021년 05월,19519,42027
2021년 06월,17117,38191
2021년 07월,15921,39146
2021년 08월,14101,36154
2021년 09월,12808,33662
2021년 10월,11121,29187
2021년 11월,11409,26593
2021년 12월,11568,25669
2022년 01월,9385,20544
2022년 02월,8027,18484
2022년 03월,9131,17025
2022년 04월,9509,29941
2022년 05월,11627,25089
2022년 06월,10043,21550
2022년 07월,9547,15075
2022년 08월,6993,19733
2022년 09월,5224,12946
2022년 10월,5435,14339
2022년 11월,4982,12760
2022년 12월,7199,22002
2023년 01월,6536,12022
2023년 02월,12395,19999
2023년 03월,9324,20732
2023년 04월,7896,20871
2023년 05월,15470,22015
2023년 06월,9787,26735
2023년 07월,10660,21553
2023년 08월,9311,23315
2023년 09월,10377,20647
2023년 10월,9861,18693
2023년 11월,9534,16669
2023년 12월,9177,16677
2024년 01월,9121,22114
2024년 02월,7780,19939
2024년 03월,7991,20663
2024년 04월,10688,25827
2024년 05월,10804,23032
