,서울,경기
2006년 01월,0.2258051431816338,0.2859768223273675
2006년 02월,0.38164192423136206,0.3524789138037441
2006년 03월,0.5374584245964144,0.4947130220119317
2006년 04월,0.506408696357589,0.45612013988891176
2006년 05월,0.5608014926583922,0.5033395049029692
2006년 06월,0.43822503447716393,0.4349173695398752
2006년 07월,0.3511194937941105,0.3541520949050264
2006년 08월,0.3546077715583678,0.34001234313927176
2006년 09월,0.5988074957410562,0.5947198793115271
2006년 10월,0.7682526162083232,0.6967153534937941
2006년 11월,1.0,1.0
2006년 12월,0.8354830859089802,0.6688061441404375
2007년 01월,0.4278818852924475,0.43543852430912705
2007년 02월,0.289445931694654,0.31370774189124323
2007년 03월,0.32972337146102054,0.3456764726050881
2007년 04월,0.3456031475622617,0.35441267228965234
2007년 05월,0.3088951082988562,0.31801412603716656
2007년 06월,0.27664881966415183,0.3078104642391826
2007년 07월,0.29851139774478785,0.3378728656655009
2007년 08월,0.2935629106838647,0.32768291846670783
2007년 09월,0.2650279873448528,0.27791263800315436
2007년 10월,0.37833617262918795,0.402550915449496
2007년 11월,0.38160136286201024,0.39876568607282453
2007년 12월,0.32570779589518944,0.29255982993897
2008년 01월,0.28689056542548874,0.28701913186587125
2008년 02월,0.29336010383710553,0.26637866008365907
2008년 03월,0.4321813904437414,0.3803469793595282
2008년 04월,0.5764987425975501,0.4797503942947267
2008년 05월,0.4720532165165896,0.4268257560172804
2008년 06월,0.4178023850085179,0.4140574641706096
2008년 07월,0.3532286850004056,0.41562092847836524
2008년 08월,0.2267380546767259,0.27361996845642184
2008년 09월,0.1950596252129472,0.2515257491599808
2008년 10월,0.18662286038776668,0.22135363094013577
2008년 11월,0.12391498336983857,0.1814441472947953
2008년 12월,0.15100997809686054,0.1769731879585819
2009년 01월,0.12926908412428004,0.14167180964136322
2009년 02월,0.17725318406749413,0.2265103202358911
2009년 03월,0.22763040480246613,0.28238359733936774
2009년 04월,0.28772207349720125,0.3229239525474868
2009년 05월,0.30226332440983206,0.32673661112253993
2009년 06월,0.3514237040642492,0.3454158952204622
2009년 07월,0.3666139368865093,0.3772749091407804
2009년 08월,0.350754441469944,0.3602139477473771
2009년 09월,0.38995700494848706,0.43298361105396693
2009년 10월,0.36845947919201755,0.40314064321470205
2009년 11월,0.2614788675265677,0.3400397723376534
2009년 12월,0.25440090857467346,0.3511485976822327
2010년 01월,0.18500040561369352,0.2382225879448673
2010년 02월,0.22089721749006247,0.24054035520811903
2010년 03월,0.2721465076660988,0.30587670575327436
2010년 04월,0.22154619939969172,0.2822875951450319
2010년 05월,0.1712703820880993,0.24217239251182884
2010년 06월,0.1537073091587572,0.25996022766234655
2010년 07월,0.1418025472539953,0.242583830487554
2010년 08월,0.1453922284416322,0.21518206130425838
2010년 09월,0.13344690516751845,0.2014537475142289
2010년 10월,0.1704388740163868,0.26803812658575055
2010년 11월,0.22270219842621886,0.3155866419803881
2010년 12월,0.29853167842946376,0.3992594116436947
2011년 01월,0.21258213677293744,0.29286155112116846
2011년 02월,0.23483004786241585,0.28046355345265034
2011년 03월,0.31177496552283607,0.3727353768086128
2011년 04월,0.2707471404234607,0.3133785915106631
2011년 05월,0.23890646548227468,0.2813687169992457
2011년 06월,0.22560233633487467,0.2571624494274155
2011년 07월,0.196763202725724,0.2568881574435987
2011년 08월,0.21951813093210026,0.27009531646437634
2011년 09월,0.22144479597631217,0.30087087704861826
2011년 10월,0.23057110408047377,0.29980113831173283
2011년 11월,0.2157053622130283,0.292820407323596
2011년 12월,0.29321813904437416,0.3904272097647946
2012년 01월,0.10659527865660745,0.12967153534937942
2012년 02월,0.16169789892106756,0.19562504285812246
2012년 03월,0.20006895432789812,0.2722073647397655
2012년 04월,0.20996592844974446,0.25920592470685044
2012년 05월,0.20384116167761823,0.24719193581567578
2012년 06월,0.1802750060842054,0.21597750805732702
2012년 07월,0.16398961628944594,0.22699033120757045
2012년 08월,0.13277764257321328,0.2005348693684427
2012년 09월,0.11616776182363917,0.18118356991016937
2012년 10월,0.21392066196154783,0.2822601659466502
2012년 11월,0.24730266893810335,0.283041898100528
2012년 12월,0.336740488358887,0.39685935678529793
2013년 01월,0.12352965036099618,0.1869437015703216
2013년 02월,0.13801005921959925,0.20469039292326682
2013년 03월,0.22639328303723533,0.24299526846327915
2013년 04월,0.2752088910521619,0.3125557155592128
2013년 05월,0.3104364403342257,0.3553452650346294
2013년 06월,0.4305792163543441,0.4627442912980868
2013년 07월,0.17204104810578405,0.22542686689981487
