Unnamed: 0,인구_서울,인구_경기,매매가_서울,매매가_경기,전세가_서울,전세가_경기,매매가지수_서울,매매가지수_경기,전세가지수_서울,전세가지수_경기,거래량_서울,거래량_경기
2012년 01월,10250134,11948596,5465,2969,2723,1669,83.658,80.061,76.478,75.884,5256,9455
2012년 02월,10251297,11961481,5453,2967,2725,1671,83.539,80.023,76.523,75.993,7973,14264
2012년 03월,10245782,11972408,5432,2960,2723,1669,83.263,79.884,76.528,75.923,9865,19848
2012년 04월,10241387,11984985,5402,2953,2714,1667,82.86,79.723,76.312,75.834,10353,18900
2012년 05월,10237054,11998173,5381,2944,2704,1663,82.535,79.52,76.065,75.727,10051,18024
2012년 06월,10232281,12009150,5348,2931,2696,1660,82.126,79.208,75.88,75.599,8889,15748
2012년 07월,10227761,12021422,5319,2914,2684,1653,81.751,78.827,75.609,75.386,8086,16551
2012년 08월,10223243,12035714,5278,2895,2678,1650,81.249,78.431,75.466,75.261,6547,14622
2012년 09월,10219334,12047601,5245,2877,2691,1653,80.848,78.025,75.845,75.424,5728,13211
2012년 10월,10212445,12060335,5218,2860,2710,1659,80.512,77.665,76.356,75.678,10548,20581
2012년 11월,10205843,12071878,5199,2845,2726,1662,80.214,77.346,76.716,75.807,12194,20638
2012년 12월,10195318,12093299,5154,2822,2731,1660,79.818,76.991,76.878,75.889,16604,28937
2013년 01월,10195064,12107216,5126,2804,2741,1663,79.411,76.583,77.106,76.008,6091,13631
2013년 02월,10196434,12123024,5111,2792,2755,1665,79.168,76.304,77.453,76.108,6805,14925
2013년 03월,10192057,12133590,5112,2783,2775,1672,79.104,76.09,77.894,76.377,11163,17718
2013년 04월,10185955,12144383,5095,2782,2789,1684,79.137,76.032,78.132,76.858,13570,22790
2013년 05월,10181807,12156714,5105,2786,2793,1690,79.255,76.138,78.271,77.091,15307,25910
2013년 06월,10176560,12167575,5091,2787,2796,1696,79.068,76.155,78.372,77.266,21231,33741
2013년 07월,10172002,12181553,5065,2780,2812,1702,78.73,75.968,78.785,77.474,8483,16437
2013년 08월,10168997,12193532,5044,2773,2839,1715,78.404,75.79,79.41,77.939,9174,15524
2013년 09월,10166691,12203080,5048,2774,2870,1731,78.407,75.793,80.135,78.573,10479,18163
2013년 10월,10162099,12211807,5067,2784,2907,1752,78.668,76.036,80.971,79.331,16072,28813
2013년 11월,10154180,12219786,5069,2790,2928,1768,78.717,76.153,81.551,79.893,15425,25783
2013년 12월,10143645,12234630,5067,2794,2944,1782,78.693,76.241,81.932,80.369,16968,29429
2014년 01월,10143164,12245960,5082,2818,2984,1811,78.873,76.403,82.598,81.09,12512,20354
2014년 02월,10144173,12256617,5097,2827,3004,1831,79.057,76.623,83.125,81.783,15354,25005
2014년 03월,10141727,12266541,5111,2839,3021,1849,79.234,76.886,83.544,82.454,18905,28913
2014년 04월,10137313,12276751,5112,2839,3024,1853,79.225,76.832,83.605,82.55,17646,28251
2014년 05월,10133734,12286470,5108,2836,3023,1853,79.169,76.756,83.603,82.551,14149,23666
2014년 06월,10129223,12300698,5104,2835,3023,1856,79.11,76.727,83.614,82.664,13437,21441
2014년 07월,10125912,12313649,5104,2835,3027,1863,79.075,76.707,83.704,82.902,15179,24460
2014년 08월,10124243,12324470,5109,2839,3033,1870,79.113,76.788,83.817,83.186,16517,25289
2014년 09월,10122661,12334023,5127,2853,3044,1885,79.308,77.08,84.076,83.676,18957,28592
2014년 10월,10117909,12342448,5143,2864,3056,1897,79.506,77.31,84.391,84.11,23343,36359
2014년 11월,10112156,12348078,5148,2871,3069,1909,79.582,77.464,84.63,84.539,19057,28934
2014년 12월,10103233,12357830,5147,2876,3078,1919,79.582,77.567,84.841,84.918,16935,28262
2015년 01월,10104515,12366711,5138,2864,3086,1921,79.651,77.699,85.084,85.273,14284,25540
2015년 02월,10105206,12376944,5152,2874,3105,1934,79.811,77.931,85.48,85.755,16390,25782
2015년 03월,10100987,12392297,5176,2887,3128,1950,80.097,78.242,85.994,86.372,26475,38930
2015년 04월,10094889,12405279,5206,2907,3160,1972,80.509,78.709,86.682,87.191,28465,41690
2015년 05월,10088393,12418899,5234,2924,3184,1990,80.86,79.083,87.206,87.832,27705,36929
2015년 06월,10078850,12432063,5265,2940,3210,2007,81.265,79.461,87.813,88.486,26297,37783
2015년 07월,10071654,12444924,5321,3012,3369,2144,81.571,79.738,88.28,88.942,27514,35909
2015년 08월,10063197,12460604,5345,3024,3387,2155,81.873,79.994,88.69,89.334,23005,33512
2015년 09월,10055027,12475565,5372,3036,3414,2169,82.24,80.294,89.285,89.843,21288,34412
2015년 10월,10045027,12491080,5399,3052,3439,2185,82.622,80.643,89.864,90.406,25046,38713
2015년 11월,10035597,12504790,5407,3063,3478,2199,83.001,80.919,90.535,90.886,23128,36556
2015년 12월,10022181,12522606,5423,3069,3499,2208,83.242,81.033,90.99,91.166,20716,33034
2016년 01월,10018537,12536474,5423,3070,3508,2213,83.282,81.063,91.201,91.32,15084,25227
2016년 02월,10014261,12551398,5412,3070,3519,2217,83.283,81.065,91.331,91.468,14656,23233
2016년 03월,10009588,12565891,5411,3070,3526,2222,83.291,81.055,91.433,91.624,19759,31118
2016년 04월,10002979,12578597,5417,3070,3533,2228,83.355,81.065,91.552,91.83,21733,33024
2016년 05월,9995784,12594829,5429,3072,3539,2233,83.477,81.111,91.69,92.013,24802,33557
2016년 06월,9989795,12610877,5435,3076,3551,2240,83.663,81.192,91.855,92.24,26779,37258
2016년 07월,9981673,12629325,5454,3080,3560,2246,83.855,81.257,92.031,92.388,29312,40373
2016년 08월,9971111,12649894,5473,3085,3567,2253,84.069,81.329,92.155,92.515,29173,43007
2016년 09월,9964291,12666278,5459,3096,3561,2272,84.288,81.392,92.274,92.62,24429,38756
2016년 10월,9954791,12683730,5493,3099,3574,2279,84.651,81.53,92.457,92.792,28902,46100
2016년 11월,9943333,12699920,5514,3105,3583,2284,84.944,81.667,92.658,92.972,26240,41696
2016년 12월,9930616,12716780,5517,3107,3588,2286,85.024,81.713,92.765,93.04,24725,40069
2017년 01월,9930478,12728620,5517,3107,3591,2286,85.045,81.719,92.818,93.058,14511,26857
2017년 02월,9931412,12741266,5522,3108,3593,2288,85.091,81.729,92.856,93.1,15879,26253
2017년 03월,9926968,12753983,5540,3110,3605,2290,85.205,81.766,92.98,93.168,19897,36306
