"행정구역","2016년07월_계_총인구수","2016년07월_계_연령구간인구수","2016년07월_계_0~9세","2016년07월_계_10~19세","2016년07월_계_20~29세","2016년07월_계_30~39세","2016년07월_계_40~49세","2016년07월_계_50~59세","2016년07월_계_60~69세","2016년07월_계_70~79세","2016년07월_계_80~89세","2016년07월_계_90~99세","2016년07월_계_100세 이상"
"전국  (0000000000)","51,634,618","51,634,618","4,585,234","5,577,221","6,727,852","7,599,212","8,814,453","8,394,799","5,264,186","3,197,171","1,285,312","172,098","17,080"
"서울특별시  (1100000000)","9,981,673","9,981,673","772,511","955,224","1,448,063","1,644,471","1,687,369","1,580,169","1,064,322","592,112","201,468","30,644","5,320"
"부산광역시  (2600000000)","3,508,095","3,508,095","267,991","333,691","455,887","489,380","561,534","615,997","446,634","242,439","82,939","10,057","1,546"
"대구광역시  (2700000000)","2,484,856","2,484,856","207,284","280,104","328,774","337,643","433,238","421,796","264,200","148,706","56,317","6,223","571"
"인천광역시  (2800000000)","2,937,217","2,937,217","270,907","316,490","404,592","453,322","513,481","500,079","267,499","144,547","57,280","8,278","742"
"광주광역시  (2900000000)","1,472,481","1,472,481","142,239","191,418","200,796","217,730","256,651","221,127","130,750","77,807","29,607","4,015","341"
"대전광역시  (3000000000)","1,516,291","1,516,291","143,162","179,362","212,398","225,280","265,307","239,014","140,092","76,780","30,576","4,008","312"
"울산광역시  (3100000000)","1,173,066","1,173,066","116,309","135,397","158,664","179,036","208,515","204,058","105,658","46,333","16,823","2,136","137"
"세종특별자치시  (3600000000)","232,117","232,117","33,237","25,809","25,261","44,165","41,860","28,071","17,308","10,654","5,054","653","45"
"경기도  (4100000000)","12,629,325","12,629,325","1,250,465","1,458,007","1,666,587","1,959,277","2,306,304","2,000,547","1,077,896","627,165","245,624","34,256","3,197"
"강원도  (4200000000)","1,548,636","1,548,636","122,208","166,292","183,440","187,169","247,719","271,117","178,143","132,090","51,883","7,945","630"
"충청북도  (4300000000)","1,587,539","1,587,539","141,759","174,975","197,009","214,211","260,384","262,992","165,406","113,842","50,275","6,221","465"
"충청남도  (4400000000)","2,086,737","2,086,737","197,291","225,066","243,809","295,431","334,724","321,184","221,283","158,745","78,755","9,737","712"
"전라북도  (4500000000)","1,865,612","1,865,612","158,422","211,435","218,070","228,645","297,269","298,180","215,581","154,835","73,490","9,010","675"
"전라남도  (4600000000)","1,903,692","1,903,692","157,228","203,786","204,924","221,817","287,713","312,953","228,237","189,239","85,755","11,285","755"
"경상북도  (4700000000)","2,702,210","2,702,210","223,435","269,584","308,607","343,388","424,366","459,797","328,472","225,695","104,968","13,111","787"
"경상남도  (4800000000)","3,369,271","3,369,271","316,662","374,191","395,586","471,395","576,237","558,446","352,233","216,111","96,376","11,415","619"
"제주특별자치도  (5000000000)","635,800","635,800","64,124","76,390","75,385","86,852","111,782","99,272","60,472","40,071","18,122","3,104","226"
